Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
0,410.2,19.0,15.1,444.4,2.3
1,25.1,15.4,8.2,48.7,20.5
2,26.6,15.4,8.3,50.3,19.9
3,22.4,15.5,8.2,46.1,21.7
4,21.9,15.5,8.2,45.6,21.9
5,21.1,15.8,8.2,45.1,22.2
6,22.0,15.6,8.1,45.7,21.9
7,20.9,15.6,8.3,44.8,22.3
8,20.8,15.6,11.6,48.0,20.8
9,28.9,15.3,12.8,57.0,17.5
10,24.9,15.7,9.9,50.5,19.8
11,29.4,15.5,12.6,57.5,17.4
12,31.6,15.7,11.5,58.9,17.0
13,26.9,16.3,10.2,53.4,18.7
14,29.2,15.8,27.7,72.7,13.8
15,28.0,18.6,9.1,55.8,17.9
16,26.3,15.7,8.4,50.4,19.8
17,25.8,15.5,8.4,49.7,20.1
18,26.9,15.8,8.5,51.1,19.6
19,26.0,15.8,8.6,50.4,19.8
20,21.4,15.7,15.2,52.2,19.2
21,22.8,16.2,16.3,55.2,18.1
22,23.5,15.7,19.4,58.6,17.1
23,22.3,16.3,17.4,56.0,17.8
24,20.9,15.3,17.3,53.5,18.7
25,22.6,15.4,17.0,54.9,18.2
26,21.6,15.4,8.4,45.4,22.0
27,22.2,15.4,9.3,46.8,21.4
28,23.5,15.6,8.5,47.6,21.0
29,24.7,18.0,8.4,51.2,19.5
30,22.0,16.0,9.3,47.3,21.1
31,25.7,15.9,8.5,50.1,19.9
32,23.2,16.1,9.3,48.6,20.6
33,21.8,16.0,8.5,46.4,21.6
34,21.7,15.9,9.3,46.9,21.3
35,24.2,16.0,9.4,49.6,20.2
36,22.8,16.0,8.4,47.1,21.2
37,21.7,16.2,9.3,47.1,21.2
38,21.7,15.9,8.5,46.1,21.7
39,22.1,16.2,9.3,47.5,21.0
40,21.6,16.0,8.4,46.1,21.7
41,22.0,16.3,8.4,46.7,21.4
42,22.3,15.9,8.4,46.6,21.5
43,21.8,16.3,8.4,46.5,21.5
44,23.2,16.1,18.6,57.9,17.3
45,37.6,16.2,10.0,63.8,15.7
46,26.8,16.0,12.5,55.3,18.1
47,23.5,16.2,9.0,48.7,20.6
48,28.6,15.9,8.1,52.6,19.0
49,25.7,16.3,8.2,50.3,19.9
50,24.9,15.9,8.2,49.1,20.4
51,24.1,16.0,8.3,48.3,20.7
52,24.8,16.1,8.3,49.3,20.3
53,24.2,15.9,8.2,48.3,20.7
54,25.2,16.1,8.2,49.5,20.2
55,23.7,15.9,8.2,47.9,20.9
56,26.8,16.0,8.2,51.0,19.6
57,27.5,16.2,8.3,51.9,19.2
58,25.6,16.4,8.4,50.4,19.8
59,23.1,16.3,15.1,54.5,18.3
60,29.0,16.2,15.5,60.7,16.5
61,29.1,16.3,15.1,60.6,16.5
62,26.2,16.1,15.1,57.4,17.4
63,26.4,16.3,15.2,57.8,17.3
64,29.0,16.4,15.0,60.4,16.6
65,26.1,16.1,15.2,57.4,17.4
66,26.2,16.2,15.2,57.6,17.3
67,26.2,16.1,15.1,57.4,17.4
68,26.7,16.1,9.7,52.5,19.0
69,22.5,16.0,9.0,47.6,21.0
70,26.0,16.1,9.1,51.2,19.5
71,25.4,16.2,8.9,50.5,19.8
72,26.2,15.8,9.0,51.1,19.6
73,22.8,16.1,10.3,49.3,20.3
74,27.7,16.2,9.1,53.0,18.9
75,28.0,16.3,7.3,51.5,19.4
76,28.8,16.0,15.8,60.6,16.5
77,28.2,16.2,8.9,53.3,18.7
78,28.9,15.9,8.9,53.7,18.6
79,29.6,16.1,8.1,53.8,18.6
80,22.8,15.9,8.2,46.9,21.3
81,25.4,16.3,9.2,50.8,19.7
82,22.5,16.2,8.1,46.8,21.4
83,26.1,16.5,9.1,51.7,19.3
84,22.4,16.0,8.1,46.5,21.5
85,25.4,16.2,9.1,50.6,19.8
86,26.4,15.9,8.9,51.2,19.5
87,25.1,16.2,9.0,50.3,19.9
88,25.1,16.1,8.9,50.0,20.0
89,24.8,16.3,8.1,49.1,20.4
90,24.4,16.0,9.1,49.5,20.2
91,26.1,16.4,8.9,51.4,19.4
92,24.1,16.1,8.3,48.5,20.6
93,26.1,16.2,8.2,50.6,19.8
94,23.5,16.0,8.2,47.7,20.9
95,25.0,16.3,8.3,49.6,20.2
96,23.7,15.9,8.2,47.8,20.9
97,25.5,16.2,8.2,49.9,20.1
98,22.8,15.9,8.2,46.9,21.3
99,25.5,16.1,8.2,49.8,20.1
100,22.6,16.0,8.2,46.9,21.3
101,25.0,16.2,9.0,50.2,19.9
102,23.1,16.0,8.2,47.3,21.1
103,25.4,16.2,8.2,49.8,20.1
104,22.7,16.1,8.3,47.2,21.2
105,25.7,16.1,8.2,49.9,20.0
106,23.5,16.1,8.2,47.7,20.9
107,26.1,16.3,9.1,51.5,19.4
108,21.9,16.0,9.0,46.8,21.3
109,25.2,16.2,8.0,49.4,20.2
110,22.8,15.9,9.0,47.7,20.9
111,25.1,16.5,9.0,50.6,19.8
112,22.9,16.2,8.2,47.2,21.2
113,25.8,16.4,8.2,50.4,19.9
114,23.5,16.0,8.2,47.7,21.0
115,28.9,16.2,8.2,53.3,18.7
116,22.8,15.9,9.1,47.8,20.9
117,24.8,16.2,9.0,49.9,20.0
118,22.6,15.9,8.1,46.5,21.5
119,25.8,16.2,9.1,51.0,19.6
120,23.0,16.0,8.1,47.1,21.2
121,25.5,16.2,9.0,50.8,19.7
122,23.0,16.0,8.2,47.2,21.2
123,25.7,16.4,8.2,50.4,19.9
124,23.4,16.2,8.3,47.8,20.9
125,26.4,16.3,9.1,51.7,19.3
126,22.9,15.9,9.0,47.7,21.0
127,25.8,16.1,8.9,50.8,19.7
128,23.8,16.0,8.1,47.8,20.9
129,26.8,16.2,9.0,52.0,19.2
130,22.8,16.1,8.9,47.8,20.9
131,25.6,16.5,8.1,50.2,19.9
132,23.8,16.0,9.1,48.8,20.5
133,27.3,16.3,9.0,52.6,19.0
134,22.8,15.8,8.9,47.5,21.1
135,25.9,16.2,8.1,50.2,19.9
136,24.1,15.9,8.2,48.2,20.7
137,25.2,16.1,8.2,49.5,20.2
138,23.5,15.8,8.2,47.5,21.1
139,25.7,16.2,8.2,50.1,19.9
140,23.0,15.9,8.2,47.1,21.2
141,25.7,16.2,9.0,50.9,19.6
142,22.9,16.0,8.1,47.0,21.3
143,26.7,16.3,8.2,51.2,19.5
144,22.6,15.6,9.0,47.2,21.2
145,26.0,15.7,8.1,49.7,20.1
146,23.6,16.0,8.2,47.8,20.9
147,22.5,16.1,9.2,47.8,20.9
148,22.8,16.1,8.1,47.0,21.3
149,26.6,16.2,9.1,51.9,19.3
150,22.8,16.0,8.9,47.8,20.9
151,25.4,16.0,8.9,50.3,19.9
152,24.4,16.0,8.9,49.4,20.3
153,25.2,16.0,8.9,50.2,19.9
154,22.9,16.0,8.2,47.1,21.3
155,25.6,16.1,8.3,50.0,20.0
156,23.2,15.9,8.3,47.4,21.1
157,26.0,16.0,8.2,50.2,19.9
158,23.8,16.1,9.3,49.2,20.3
159,22.8,15.9,8.2,47.0,21.3
160,23.9,15.8,8.3,48.0,20.9
161,25.3,16.0,8.2,49.6,20.2
162,24.1,16.1,8.2,48.4,20.6
163,25.9,15.8,9.0,50.7,19.7
164,26.7,16.1,8.1,50.9,19.6
165,29.1,16.0,8.2,53.3,18.8
166,23.2,16.0,9.7,48.9,20.5
167,25.6,17.3,9.0,51.9,19.3
168,22.0,16.0,8.9,46.9,21.3
169,31.3,16.2,8.2,55.8,17.9
170,24.3,17.0,9.8,51.1,19.6
171,25.2,16.0,9.0,50.1,19.9
172,25.3,16.1,8.9,50.4,19.8
173,23.3,16.1,8.1,47.4,21.1
174,25.7,15.9,9.1,50.8,19.7
175,23.1,16.0,8.9,47.9,20.9
176,26.8,15.9,8.9,51.6,19.4
177,23.0,15.9,8.9,47.9,20.9
178,25.7,16.4,8.9,51.1,19.6
179,23.0,16.0,8.1,47.1,21.2
180,25.8,16.1,8.2,50.1,19.9
181,23.7,16.0,9.1,48.8,20.5
182,25.0,15.8,8.9,49.7,20.1
183,23.8,15.8,9.0,48.6,20.6
184,25.2,16.2,8.0,49.4,20.2
185,24.9,15.9,9.0,49.9,20.1
186,26.8,16.1,8.9,51.8,19.3
187,22.1,16.0,9.0,47.1,21.2
188,26.8,16.3,9.0,52.1,19.2
189,24.0,15.9,8.1,48.0,20.8
190,26.0,16.2,9.0,51.2,19.5
191,24.0,16.0,8.1,48.1,20.8
192,24.4,16.2,9.1,49.7,20.1
193,23.3,15.9,8.9,48.1,20.8
194,25.9,16.2,8.9,51.1,19.6
195,23.3,15.9,9.0,48.1,20.8
196,26.0,16.2,8.9,51.1,19.6
197,23.1,16.0,8.9,48.0,20.8
198,26.1,16.3,8.9,51.3,19.5
199,23.1,15.9,9.0,48.0,20.8
200,25.6,16.1,8.1,49.9,20.1
201,23.6,16.0,8.3,47.9,20.9
202,25.4,16.2,8.3,49.9,20.0
203,23.3,15.7,9.1,48.1,20.8
204,26.7,16.1,8.1,51.0,19.6
205,23.9,15.7,9.1,48.8,20.5
206,26.9,16.1,8.9,51.9,19.3
207,23.6,16.1,8.9,48.7,20.6
208,26.9,16.2,8.1,51.1,19.6
209,23.6,16.1,8.2,47.9,20.9
210,26.0,16.1,9.1,51.2,19.5
211,22.9,16.1,8.1,47.1,21.2
212,25.5,15.9,9.1,50.5,19.8
213,26.9,15.9,8.9,51.7,19.4
214,26.5,16.1,8.1,50.7,19.7
215,23.8,16.0,9.0,48.8,20.5
216,27.3,15.8,8.9,52.0,19.2
217,22.1,16.0,8.1,46.2,21.7
218,24.5,16.0,9.1,49.6,20.2
219,23.6,16.0,9.0,48.5,20.6
220,29.0,16.3,9.0,54.3,18.4
221,22.4,16.1,8.1,46.6,21.4
222,26.1,16.0,9.0,51.1,19.6
223,23.1,16.0,8.9,48.0,20.8
224,25.8,16.0,8.1,49.9,20.0
225,23.3,16.0,9.0,48.4,20.7
226,26.7,16.2,8.1,51.0,19.6
227,25.5,16.0,8.2,49.8,20.1
228,25.6,16.0,8.2,49.8,20.1
229,23.1,16.0,9.1,48.1,20.8
230,25.8,16.0,9.0,50.8,19.7
231,23.5,16.2,8.2,47.8,20.9
232,26.7,16.0,9.2,51.9,19.3
233,23.4,16.1,9.0,48.5,20.6
234,24.5,16.0,8.1,48.6,20.6
235,25.0,15.9,9.1,49.9,20.0
236,24.9,16.1,8.0,49.0,20.4
237,27.3,16.1,8.3,51.6,19.4
238,25.4,16.0,8.2,49.6,20.2
239,23.6,16.0,8.2,47.8,20.9
240,26.5,16.0,9.1,51.6,19.4
241,22.2,16.0,8.1,46.3,21.6
242,24.5,16.0,8.2,48.6,20.6
243,25.1,15.9,9.1,50.1,20.0
244,27.1,16.2,9.0,52.3,19.1
245,23.3,16.0,8.9,48.3,20.7
246,25.3,16.0,8.9,50.2,19.9
247,23.3,16.0,8.9,48.2,20.7
248,25.7,16.2,8.9,50.8,19.7
249,27.2,16.0,9.0,52.2,19.2
250,26.7,16.2,8.1,51.1,19.6
251,23.7,16.1,8.3,48.1,20.8
252,25.9,16.2,8.2,50.3,19.9
253,24.6,16.1,9.1,49.8,20.1
254,26.1,16.1,8.9,51.1,19.6
255,22.7,16.0,8.9,47.7,21.0
256,26.8,16.3,9.0,52.1,19.2
257,24.0,16.0,9.3,49.4,20.3
258,25.4,15.9,9.0,50.2,19.9
259,22.8,16.0,8.9,47.7,21.0
260,24.3,16.0,9.0,49.3,20.3
261,23.4,15.9,9.0,48.3,20.7
262,25.6,16.4,8.2,50.2,19.9
263,23.1,16.2,8.3,47.6,21.0
264,25.5,16.1,9.0,50.7,19.7
265,23.0,16.0,8.9,47.9,20.9
266,25.0,16.4,8.2,49.6,20.2
267,25.1,15.9,9.0,50.0,20.0
268,25.1,16.5,9.0,50.7,19.7
269,22.8,15.9,8.1,46.8,21.4
270,27.3,16.6,8.3,52.1,19.2
271,23.3,16.0,8.3,47.6,21.0
272,26.0,16.4,9.1,51.5,19.4
273,22.6,16.1,8.9,47.6,21.0
274,25.7,16.5,8.9,51.0,19.6
275,24.2,16.1,9.0,49.2,20.3
276,25.2,16.3,9.0,50.4,19.8
277,23.6,16.0,9.0,48.6,20.6
