Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
0,393.8,12.4,8.7,414.8,2.4
1,26.0,9.5,5.2,40.6,24.6
2,25.4,9.4,5.2,40.0,25.0
3,24.1,9.4,5.2,38.8,25.8
4,23.5,9.5,5.2,38.2,26.2
5,24.3,9.5,5.3,39.0,25.6
6,25.2,9.5,5.3,40.0,25.0
7,21.6,9.4,5.2,36.3,27.6
8,24.2,9.5,5.1,38.9,25.7
9,24.3,9.4,5.3,39.0,25.6
10,24.2,9.4,5.2,38.8,25.8
11,23.0,9.5,5.2,37.7,26.6
12,23.7,9.4,5.2,38.3,26.1
13,24.3,9.4,5.2,39.0,25.7
14,25.4,9.4,5.2,40.0,25.0
15,21.5,9.4,5.2,36.1,27.7
16,24.2,9.4,5.2,38.9,25.7
17,24.3,9.8,5.2,39.4,25.4
18,23.7,9.4,5.2,38.4,26.1
19,22.2,9.5,5.2,36.9,27.1
20,23.8,9.4,5.3,38.5,26.0
21,28.0,9.5,5.3,42.8,23.4
22,22.1,9.5,5.3,36.8,27.2
23,26.9,9.5,5.2,41.6,24.0
24,28.8,9.5,5.2,43.5,23.0
25,24.1,9.5,5.3,38.9,25.7
26,24.6,9.5,5.7,39.8,25.1
27,24.1,9.5,5.4,39.0,25.7
28,27.6,9.6,5.2,42.4,23.6
29,25.4,11.5,5.2,42.1,23.8
30,28.6,10.0,5.2,43.7,22.9
31,23.4,10.0,5.2,38.7,25.8
32,24.6,10.1,5.2,39.9,25.1
33,25.3,10.0,5.2,40.5,24.7
34,23.7,10.0,5.2,39.0,25.7
35,24.0,10.0,5.2,39.1,25.6
36,25.1,10.0,5.2,40.3,24.8
37,27.8,10.0,5.2,43.0,23.3
38,25.7,10.1,5.2,41.0,24.4
39,25.5,9.9,5.2,40.7,24.6
40,23.2,10.0,5.2,38.4,26.1
41,25.6,10.1,5.2,40.9,24.5
42,25.4,9.9,5.2,40.5,24.7
43,22.5,9.9,5.2,37.6,26.6
44,24.6,10.0,5.2,39.8,25.1
45,24.2,9.9,5.2,39.3,25.4
46,23.3,10.0,5.2,38.5,26.0
47,23.0,10.0,5.2,38.1,26.2
48,25.7,10.1,5.2,41.1,24.4
49,27.2,10.0,5.2,42.4,23.6
50,22.7,10.0,5.2,38.0,26.3
51,24.4,10.0,5.2,39.6,25.3
52,25.6,10.0,5.3,40.8,24.5
53,23.0,10.0,6.1,39.1,25.6
54,25.1,10.0,5.3,40.4,24.7
55,21.5,10.1,5.3,36.9,27.1
56,25.2,10.0,5.2,40.4,24.8
57,25.3,10.1,5.2,40.6,24.7
58,24.2,9.9,5.2,39.3,25.4
59,22.9,9.9,5.2,38.0,26.3
60,24.8,10.0,5.3,40.1,24.9
61,26.8,10.0,7.1,43.9,22.8
62,30.9,10.2,6.1,47.2,21.2
63,28.2,10.0,6.5,44.7,22.4
64,32.2,10.1,7.3,49.6,20.2
65,26.4,10.1,6.0,42.5,23.6
66,21.8,9.9,5.2,37.0,27.1
67,24.2,10.0,5.3,39.4,25.4
68,23.0,10.2,5.2,38.4,26.1
69,25.6,9.9,5.2,40.8,24.5
70,24.2,10.0,5.2,39.4,25.4
71,24.9,10.0,5.2,40.1,24.9
72,24.6,9.9,6.5,41.0,24.4
73,22.0,10.1,5.3,37.4,26.7
74,24.5,10.0,5.3,39.8,25.1
75,24.5,10.0,5.5,40.0,25.0
76,27.2,10.0,5.7,42.9,23.3
77,26.3,10.1,5.6,41.9,23.9
78,27.0,9.9,5.5,42.5,23.5
79,24.1,9.9,5.6,39.6,25.2
80,25.6,10.1,5.2,40.9,24.4
81,24.2,10.0,5.1,39.4,25.4
82,23.4,10.0,5.2,38.6,25.9
83,25.4,10.1,5.2,40.7,24.6
