Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
0,479.1,6.5,5.3,491.0,2.0
1,28.3,4.2,3.4,35.8,27.9
2,22.0,4.3,3.4,29.7,33.7
3,22.5,4.3,3.4,30.2,33.1
4,26.2,4.2,3.4,33.8,29.6
5,32.3,4.2,3.4,39.8,25.1
6,34.9,4.2,3.5,42.6,23.5
7,36.0,4.2,3.4,43.7,22.9
8,29.1,4.2,3.4,36.7,27.3
9,37.0,4.2,3.4,44.6,22.4
10,34.7,4.2,3.4,42.3,23.6
11,34.7,4.2,3.4,42.3,23.6
12,29.8,4.2,3.4,37.4,26.7
13,36.2,4.2,3.4,43.8,22.8
14,31.3,4.2,3.4,38.9,25.7
15,33.9,4.2,3.4,41.6,24.1
16,36.5,4.2,3.4,44.1,22.7
17,28.6,4.2,3.4,36.2,27.6
18,30.2,4.2,3.4,37.7,26.5
19,36.3,4.2,3.4,43.9,22.8
20,28.0,4.2,3.4,35.6,28.1
21,32.1,4.2,3.4,39.7,25.2
22,38.1,4.2,3.4,45.8,21.9
23,31.1,4.3,3.4,38.8,25.8
24,29.3,4.2,3.5,37.1,27.0
25,39.3,4.2,3.5,46.9,21.3
26,29.2,4.3,3.5,36.9,27.1
27,30.5,4.2,3.4,38.2,26.2
28,37.2,4.2,3.4,44.8,22.3
29,28.5,5.2,3.4,37.1,26.9
30,22.7,4.7,3.4,30.8,32.5
31,22.4,4.7,3.4,30.4,32.9
32,22.9,4.6,3.4,30.9,32.3
33,22.9,4.8,3.4,31.1,32.2
34,23.4,4.7,3.4,31.5,31.7
35,21.8,4.7,3.4,29.8,33.5
36,23.2,4.6,3.5,31.3,32.0
37,25.1,4.6,3.4,33.0,30.3
38,22.8,4.6,3.4,30.8,32.4
39,22.0,4.7,3.5,30.2,33.1
40,23.1,4.7,3.5,31.2,32.0
41,23.3,4.7,3.4,31.4,31.8
42,24.4,4.7,3.4,32.6,30.7
43,22.5,4.7,3.4,30.6,32.7
44,21.9,4.7,3.4,30.1,33.3
45,22.8,4.6,3.4,30.9,32.4
46,22.5,4.7,3.4,30.5,32.8
47,22.5,4.8,3.4,30.6,32.6
48,23.1,4.7,3.4,31.2,32.1
49,23.2,4.7,3.5,31.3,31.9
50,22.0,4.6,3.4,30.0,33.3
51,23.6,4.8,4.0,32.3,31.0
52,23.1,4.7,3.4,31.2,32.0
53,23.0,4.8,3.4,31.3,31.9
54,21.9,4.7,3.5,30.1,33.2
55,22.9,4.7,3.4,31.0,32.3
56,21.8,4.8,3.4,30.0,33.3
57,22.4,4.7,3.4,30.5,32.7
58,22.7,4.6,3.4,30.8,32.5
59,21.8,4.7,3.4,29.9,33.5
60,23.1,4.7,3.4,31.2,32.1
61,22.9,4.7,3.4,31.0,32.2
62,23.6,4.6,3.4,31.7,31.6
63,23.3,4.7,3.4,31.4,31.9
64,22.4,4.7,3.4,30.5,32.8
65,22.4,4.7,3.4,30.5,32.8
66,23.9,4.6,3.4,31.9,31.4
67,23.6,4.7,3.4,31.7,31.6
68,22.5,4.8,3.4,30.7,32.6
