Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
0,408.7,11.7,18.8,439.1,2.3
1,10.8,5.4,511.2,527.4,1.9
2,9.2,6.3,11.9,27.4,36.5
3,12.6,7.2,169.4,189.2,5.3
4,7.0,7.0,193.4,207.5,4.8
5,7.3,4.4,200.5,212.2,4.7
6,6.8,4.5,179.7,191.0,5.2
7,7.3,4.4,204.8,216.5,4.6
8,7.3,4.7,181.5,193.5,5.2
9,7.5,4.5,206.5,218.6,4.6
10,7.3,4.9,195.3,207.5,4.8
11,7.5,4.5,191.5,203.5,4.9
12,7.1,4.8,216.5,228.5,4.4
13,7.5,4.5,185.1,197.2,5.1
14,7.0,4.8,183.0,194.8,5.1
15,7.3,4.3,203.7,215.4,4.6
16,7.2,6.6,173.0,186.8,5.4
17,8.9,7.3,183.2,199.4,5.0
18,8.5,7.6,183.7,199.8,5.0
19,9.0,7.3,179.4,195.7,5.1
20,8.4,7.5,187.1,203.0,4.9
21,8.9,7.2,175.4,191.6,5.2
22,8.4,7.5,179.7,195.6,5.1
23,9.0,7.3,183.2,199.6,5.0
24,8.6,7.6,182.0,198.1,5.0
25,8.9,7.2,171.9,188.0,5.3
26,8.1,7.2,172.6,188.0,5.3
27,8.9,7.2,189.8,206.0,4.9
28,8.6,7.2,178.7,194.5,5.1
29,9.0,7.3,177.0,193.3,5.2
30,8.4,7.4,175.4,191.2,5.2
31,7.6,4.6,199.2,211.4,4.7
32,8.4,7.3,180.0,195.8,5.1
33,8.5,7.0,203.1,218.7,4.6
34,8.6,7.5,170.2,186.3,5.4
35,8.6,7.1,182.3,198.0,5.0
36,8.3,7.1,174.7,190.2,5.3
37,8.9,7.2,164.7,180.9,5.5
38,8.4,7.2,190.7,206.3,4.8
39,9.2,7.2,166.7,183.1,5.5
40,8.4,7.4,187.7,203.5,4.9
41,8.9,7.2,169.6,185.7,5.4
42,8.4,7.4,172.0,187.8,5.3
43,8.5,7.0,192.0,207.6,4.8
44,8.5,7.4,171.3,187.2,5.3
45,8.6,6.9,171.8,187.3,5.3
46,7.0,5.7,175.2,187.9,5.3
47,8.5,7.0,175.3,190.8,5.2
48,8.5,7.4,171.5,187.3,5.3
49,8.9,7.3,171.5,187.8,5.3
50,8.1,7.2,171.0,186.4,5.4
51,8.5,7.0,171.9,187.4,5.3
52,8.5,7.4,170.0,185.8,5.4
53,8.6,7.0,175.5,191.0,5.2
54,8.6,7.4,170.3,186.2,5.4
55,8.9,7.2,170.9,187.0,5.3
56,8.4,7.4,172.5,188.3,5.3
57,8.9,7.2,171.4,187.5,5.3
58,8.4,7.4,175.6,191.4,5.2
59,8.8,7.2,170.7,186.7,5.4
60,8.5,7.3,170.2,186.0,5.4
61,8.2,4.6,196.5,209.4,4.8
62,8.4,7.4,174.2,189.9,5.3
63,9.1,7.2,201.5,217.8,4.6
64,8.4,7.4,164.9,180.7,5.5
65,9.0,7.2,175.7,191.9,5.2
66,8.4,7.4,178.6,194.3,5.1
67,8.9,7.2,177.9,194.0,5.2
68,8.5,7.4,182.7,198.6,5.0
69,8.9,7.2,164.4,180.5,5.5
70,8.5,7.4,178.3,194.2,5.2
71,8.9,7.3,178.3,194.5,5.1
72,8.4,7.3,162.8,178.6,5.6
73,8.9,7.3,178.4,194.6,5.1
74,8.4,7.4,183.6,199.5,5.0
75,8.9,7.2,174.5,190.6,5.2
76,8.4,7.5,161.6,177.5,5.6
77,8.9,7.2,178.4,194.5,5.1
78,8.4,7.5,162.3,178.2,5.6
79,8.7,7.0,183.1,198.9,5.0
80,8.6,7.4,178.1,194.0,5.2
81,8.6,7.1,164.2,179.8,5.6
82,8.7,7.4,179.4,195.5,5.1
83,8.8,7.4,162.5,178.8,5.6
84,8.7,7.4,182.2,198.3,5.0
85,8.8,7.2,162.3,178.3,5.6
86,8.5,7.4,177.5,193.4,5.2
87,9.0,7.2,166.0,182.2,5.5
88,8.6,7.4,178.2,194.2,5.2
89,8.8,7.2,166.9,182.9,5.5
90,8.4,7.4,178.5,194.4,5.1
91,8.3,4.6,183.0,195.9,5.1
92,8.4,7.5,199.5,215.4,4.6
93,8.8,7.3,175.5,191.6,5.2
94,8.5,7.5,172.2,188.2,5.3
95,8.9,7.2,178.3,194.4,5.1
96,8.5,7.4,160.4,176.3,5.7
97,9.0,7.2,160.4,176.6,5.7
98,8.4,7.4,184.7,200.5,5.0
99,8.9,7.2,170.8,187.0,5.3
100,8.4,7.4,168.9,184.7,5.4
101,9.0,7.3,182.3,198.6,5.0
102,8.5,7.5,169.9,186.0,5.4
103,9.0,7.3,166.3,182.7,5.5
104,8.5,7.5,171.9,187.9,5.3
105,9.0,7.2,165.6,181.7,5.5
106,8.4,7.4,182.5,198.3,5.0
107,8.9,7.2,170.0,186.2,5.4
108,8.5,7.4,169.0,184.8,5.4
109,9.0,7.3,172.9,189.1,5.3
