Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
0,407.8,6.0,175.7,589.5,1.7
1,10.9,3.0,4.7,18.6,53.9
2,8.9,3.2,4.7,16.9,59.3
3,7.2,2.9,30.1,40.1,24.9
4,8.2,4.2,101.0,113.4,8.8
5,6.5,2.8,96.8,106.1,9.4
6,6.4,2.8,96.3,105.5,9.5
7,6.5,2.8,86.3,95.6,10.5
8,6.9,3.1,94.2,104.2,9.6
9,6.8,2.9,100.7,110.5,9.1
10,6.9,2.9,94.7,104.5,9.6
11,6.7,3.0,88.0,97.8,10.2
12,6.9,3.1,86.2,96.2,10.4
13,6.8,2.9,89.7,99.4,10.1
14,6.7,2.8,85.8,95.3,10.5
15,6.7,2.8,85.3,94.8,10.5
16,6.8,2.8,87.9,97.4,10.3
17,7.0,3.1,91.5,101.5,9.8
18,7.1,3.0,73.9,84.1,11.9
19,6.7,3.0,91.2,100.9,9.9
20,7.0,3.0,90.7,100.7,9.9
21,6.6,2.9,80.5,90.1,11.1
22,6.9,2.9,87.8,97.6,10.2
23,6.7,2.9,91.4,101.0,9.9
24,6.9,2.9,83.1,92.9,10.8
25,6.9,2.9,77.0,86.8,11.5
26,6.6,2.8,85.8,95.2,10.5
27,6.8,2.9,84.0,93.7,10.7
28,6.6,2.8,83.2,92.7,10.8
29,6.7,2.9,85.0,94.6,10.6
30,6.8,2.9,88.9,98.6,10.1
31,6.7,3.0,78.1,87.8,11.4
32,6.9,3.0,81.8,91.6,10.9
33,6.6,2.9,95.4,104.8,9.5
34,7.1,3.0,93.6,103.7,9.6
35,6.4,2.9,84.3,93.5,10.7
36,6.7,2.8,91.3,100.8,9.9
37,6.7,3.0,82.2,91.8,10.9
38,6.6,2.8,83.4,92.8,10.8
39,6.7,2.9,82.3,91.9,10.9
40,6.8,2.9,86.3,96.0,10.4
41,6.7,3.0,77.4,87.0,11.5
42,6.8,3.0,88.6,98.4,10.2
43,6.6,2.8,76.1,85.4,11.7
44,6.8,3.1,81.5,91.4,10.9
45,6.6,2.8,80.3,89.8,11.1
46,6.7,2.8,75.7,85.1,11.7
47,6.5,2.8,90.8,100.1,10.0
48,6.9,3.0,84.7,94.5,10.6
49,7.0,3.1,80.0,90.0,11.1
50,6.9,3.0,74.8,84.7,11.8
51,6.4,2.8,83.6,92.8,10.8
52,7.0,2.9,79.0,88.8,11.3
53,6.5,2.8,79.8,89.2,11.2
54,6.9,3.0,76.6,86.5,11.6
55,6.7,2.9,81.2,90.9,11.0
56,6.8,2.9,78.3,88.0,11.4
57,6.7,3.0,70.5,80.2,12.5
58,6.8,2.9,86.3,96.0,10.4
59,6.6,3.0,77.0,86.6,11.5
60,6.9,2.9,80.8,90.6,11.0
61,6.9,2.9,74.6,84.4,11.9
62,6.8,3.0,93.3,103.1,9.7
63,6.8,2.9,81.3,91.0,11.0
64,6.8,2.9,78.2,87.9,11.4
65,6.8,3.2,86.1,96.0,10.4
66,7.1,3.0,80.4,90.6,11.0
67,6.7,2.9,77.7,87.3,11.5
68,6.8,3.0,77.2,87.0,11.5
69,6.7,3.0,81.1,90.8,11.0
70,6.9,2.9,87.1,96.9,10.3
71,6.7,3.0,70.8,80.4,12.4
72,6.8,3.0,78.8,88.6,11.3
73,6.8,3.0,85.9,95.7,10.5
74,6.9,3.0,79.0,88.9,11.3
75,6.7,2.9,77.2,86.8,11.5
76,7.0,2.9,83.4,93.3,10.7
77,6.9,2.9,72.9,82.7,12.1
78,6.9,3.0,76.3,86.1,11.6
79,6.6,2.8,79.3,88.7,11.3
80,6.9,3.0,85.1,95.0,10.5
81,6.6,3.0,78.9,88.4,11.3
82,7.1,3.0,72.9,83.0,12.0
83,6.7,3.0,76.0,85.6,11.7
84,6.8,3.0,76.8,86.6,11.6
85,6.8,2.9,81.1,90.8,11.0
86,6.8,3.0,82.0,91.9,10.9
87,6.7,3.0,87.6,97.3,10.3
88,6.9,2.9,76.7,86.4,11.6
89,6.6,3.0,72.5,82.1,12.2
90,6.8,3.0,75.8,85.6,11.7
91,6.7,3.0,78.5,88.2,11.3
92,6.9,3.0,73.2,83.1,12.0
93,6.8,3.0,82.6,92.4,10.8
94,6.9,2.9,83.3,93.1,10.7
95,6.6,3.0,78.9,88.5,11.3
96,7.1,3.0,79.7,89.7,11.1
97,6.9,3.0,74.4,84.4,11.9
98,7.1,3.0,81.8,91.9,10.9
99,6.7,3.0,77.4,87.1,11.5
100,6.9,2.9,81.3,91.1,11.0
101,6.6,3.0,78.2,87.8,11.4
102,6.9,3.0,78.7,88.6,11.3
103,6.6,2.9,74.6,84.1,11.9
104,6.7,3.0,78.1,87.9,11.4
105,6.9,3.0,76.6,86.4,11.6
106,6.7,2.9,64.1,73.7,13.6
107,6.6,3.0,87.5,97.0,10.3
108,6.7,2.9,76.1,85.8,11.7
109,6.7,2.9,77.2,86.8,11.5
110,6.9,3.1,78.4,88.3,11.3
111,6.8,3.0,80.5,90.2,11.1
112,6.8,2.9,81.7,91.4,10.9
113,6.6,3.0,61.0,70.6,14.2
114,6.9,3.0,84.6,94.5,10.6
115,6.7,3.0,82.9,92.6,10.8
116,6.8,3.0,72.0,81.8,12.2
117,6.8,3.0,79.6,89.3,11.2
118,6.9,2.9,68.7,78.5,12.7
119,6.6,3.0,80.6,90.2,11.1
120,7.0,3.0,82.9,92.9,10.8
121,6.7,3.0,78.1,87.8,11.4
122,6.8,3.0,64.3,74.1,13.5
123,6.7,3.0,91.4,101.1,9.9
124,6.8,2.9,85.7,95.4,10.5
125,6.6,3.0,82.5,92.1,10.9
126,6.8,3.0,67.3,77.1,13.0
127,6.6,2.9,83.1,92.7,10.8
128,6.6,2.9,77.8,87.3,11.5
129,6.8,3.1,62.8,72.7,13.8
130,6.9,2.9,87.3,97.0,10.3
131,6.7,3.0,78.9,88.6,11.3
132,6.9,3.0,62.7,72.6,13.8
133,6.8,2.9,82.8,92.5,10.8
134,7.0,3.0,79.9,89.9,11.1
135,6.7,2.9,79.3,88.9,11.2
136,6.8,2.9,65.5,75.2,13.3
137,6.7,3.0,85.0,94.6,10.6
138,6.9,3.0,80.5,90.4,11.1
139,6.5,2.8,66.8,76.1,13.1
140,6.9,3.0,83.3,93.1,10.7
141,6.8,2.9,80.9,90.6,11.0
142,6.5,2.8,66.8,76.1,13.1
143,6.6,2.9,89.0,98.5,10.2
144,6.8,2.8,68.7,78.3,12.8
145,6.6,2.9,83.7,93.1,10.7
146,7.0,2.9,76.5,86.5,11.6
147,6.9,3.0,61.4,71.3,14.0
148,6.9,2.9,92.9,102.7,9.7
149,6.8,3.0,63.7,73.5,13.6
150,6.9,2.9,83.8,93.7,10.7
151,6.5,2.9,83.2,92.5,10.8
152,6.8,2.9,67.0,76.8,13.0
153,6.8,3.0,93.6,103.4,9.7
154,6.9,3.0,71.1,81.0,12.3
155,6.7,3.0,95.2,104.9,9.5
156,6.9,3.0,59.4,69.2,14.4
157,6.7,2.9,90.6,100.2,10.0
158,6.8,3.0,90.1,99.9,10.0
159,6.7,2.9,57.8,67.4,14.8
160,6.8,2.9,86.0,95.7,10.4
161,6.9,3.1,59.9,69.9,14.3
162,7.2,3.0,89.6,99.8,10.0
163,6.7,2.9,60.8,70.5,14.2
164,6.9,3.0,89.6,99.4,10.1
