Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
0,398.1,3.9,67.9,469.9,2.1
1,13.1,2.2,3.4,18.7,53.5
2,11.4,2.3,3.4,17.1,58.4
3,8.5,5.1,3.3,17.0,59.0
4,8.2,2.1,3.3,13.6,73.5
5,7.6,2.2,3.3,13.1,76.2
6,7.6,4.7,2.8,15.1,66.1
7,6.3,1.5,2.9,10.7,93.8
8,6.4,1.7,2.9,10.9,91.3
9,6.3,3.8,3.0,13.1,76.1
10,6.6,1.7,2.8,11.1,90.1
11,6.4,1.5,2.7,10.6,94.0
12,6.6,3.5,2.7,12.7,78.7
13,6.3,1.4,2.7,10.4,96.0
14,6.4,1.4,2.7,10.4,95.8
15,6.1,3.3,2.7,12.1,82.5
16,6.3,1.3,25.4,33.1,30.2
17,6.6,1.6,32.6,40.9,24.5
18,6.8,3.7,3.0,13.4,74.5
19,6.5,1.7,32.7,40.9,24.4
20,7.7,2.2,4.4,14.3,70.1
21,8.6,4.5,21.6,34.7,28.8
22,7.3,1.9,30.8,40.0,25.0
23,8.2,2.4,30.3,41.0,24.4
24,8.6,5.3,3.3,17.1,58.6
25,8.1,2.3,23.6,34.0,29.4
26,6.8,1.8,33.5,42.1,23.8
27,8.1,4.8,3.3,16.2,61.7
28,7.9,2.1,22.3,32.3,31.0
29,8.3,2.5,31.0,41.8,23.9
30,8.4,5.3,3.2,17.0,59.0
31,8.0,2.3,23.5,33.8,29.6
32,7.3,2.1,15.4,24.9,40.2
33,8.0,5.0,21.7,34.7,28.8
34,8.5,2.5,3.5,14.5,68.9
35,7.8,2.2,11.2,21.2,47.1
36,8.1,5.0,24.7,37.8,26.4
37,7.9,1.9,10.2,20.0,50.1
38,7.0,1.9,33.2,42.1,23.7
39,8.6,5.3,3.4,17.3,57.9
40,8.3,2.4,26.3,36.9,27.1
41,8.6,2.5,3.8,14.9,67.0
42,8.3,5.3,35.8,49.3,20.3
43,8.2,2.2,4.1,14.5,69.1
44,8.1,2.4,3.2,13.7,72.9
45,7.8,5.0,26.0,38.8,25.8
46,6.8,1.6,5.2,13.7,73.2
47,6.2,1.6,8.3,16.1,62.0
48,6.6,3.7,28.6,38.9,25.7
49,8.5,2.5,8.8,19.8,50.4
50,7.9,2.2,31.4,41.5,24.1
51,8.1,5.1,3.3,16.5,60.5
52,8.1,2.4,26.7,37.2,26.9
53,8.1,2.3,8.6,18.9,52.9
54,8.1,5.3,28.3,41.6,24.0
55,8.5,2.4,3.3,14.2,70.3
56,7.8,2.5,35.7,46.0,21.7
57,8.5,5.3,3.3,17.1,58.6
58,8.5,2.4,3.3,14.2,70.4
59,8.0,2.4,25.0,35.5,28.2
60,8.6,5.2,3.3,17.2,58.2
61,8.0,2.3,23.7,33.9,29.5
62,8.3,2.5,21.8,32.6,30.7
63,8.6,5.3,3.3,17.2,58.0
64,8.2,2.4,23.8,34.4,29.1
65,8.9,2.4,3.3,14.6,68.7
66,7.9,5.3,20.6,33.9,29.5
67,8.6,2.4,28.5,39.4,25.4
68,8.4,2.5,3.4,14.2,70.2
69,7.9,5.2,20.9,34.0,29.4
70,8.7,2.4,3.7,14.7,67.8
71,7.9,2.5,29.0,39.3,25.4
72,8.5,5.2,24.3,38.1,26.3
73,8.3,2.4,3.3,14.0,71.2
74,8.2,2.5,23.1,33.9,29.5
75,8.7,5.2,3.3,17.2,58.2
76,8.1,2.4,20.1,30.6,32.7
77,8.3,1.8,4.1,14.2,70.5
78,6.7,3.7,27.9,38.3,26.1
