Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
0,938.0,20.0,14.7,972.7,1.0
1,61.4,15.9,8.2,85.6,11.7
2,57.4,16.0,8.2,81.6,12.3
3,56.8,15.9,8.2,80.8,12.4
4,55.4,16.0,8.2,79.6,12.6
5,56.3,16.0,8.2,80.5,12.4
6,56.3,16.0,8.1,80.4,12.4
7,55.5,15.9,8.2,79.6,12.6
8,56.3,16.0,8.2,80.5,12.4
9,56.2,16.1,8.2,80.5,12.4
10,55.8,16.0,8.2,80.0,12.5
11,56.9,15.9,8.2,81.0,12.3
12,56.9,15.8,8.1,80.8,12.4
13,55.8,15.9,8.1,79.9,12.5
14,56.6,16.0,8.1,80.7,12.4
15,56.2,16.0,8.2,80.5,12.4
16,55.6,15.9,8.2,79.7,12.6
17,56.9,15.8,8.1,80.9,12.4
18,56.3,16.3,8.1,80.7,12.4
19,56.0,15.9,8.2,80.1,12.5
20,56.9,16.2,8.2,81.3,12.3
21,57.2,16.0,8.2,81.4,12.3
22,56.0,16.0,8.1,80.1,12.5
23,55.1,16.0,8.2,79.3,12.6
24,56.2,16.1,8.1,80.5,12.4
25,55.2,16.1,8.2,79.5,12.6
26,55.7,16.1,8.2,80.0,12.5
27,55.1,16.3,8.2,79.6,12.6
28,55.4,16.2,8.2,79.7,12.5
29,61.8,16.1,8.2,86.0,11.6
30,60.0,16.1,8.1,84.3,11.9
31,59.5,16.1,8.2,83.8,11.9
32,54.9,16.0,8.1,79.1,12.6
33,55.8,15.9,8.2,79.8,12.5
34,54.9,16.1,8.1,79.2,12.6
35,56.1,16.0,8.2,80.3,12.5
36,55.1,16.2,8.2,79.5,12.6
37,55.8,16.0,8.1,80.0,12.5
38,55.3,16.2,14.1,85.6,11.7
39,55.8,15.9,15.8,87.5,11.4
40,55.4,16.1,9.6,81.1,12.3
41,55.1,16.0,9.2,80.3,12.5
42,55.8,16.5,9.0,81.3,12.3
43,56.6,15.9,9.1,81.6,12.3
44,57.8,16.1,9.4,83.3,12.0
45,57.3,16.0,9.3,82.5,12.1
46,57.2,16.3,9.1,82.6,12.1
47,56.9,16.0,10.8,83.7,12.0
48,79.3,16.2,7.3,102.8,9.7
49,74.3,16.1,16.1,106.5,9.4
50,78.9,16.2,8.9,104.0,9.6
51,77.8,16.1,8.1,102.0,9.8
52,73.3,16.0,9.0,98.3,10.2
53,58.5,16.0,8.1,82.5,12.1
54,55.7,16.3,9.1,81.1,12.3
55,56.1,16.0,9.7,81.8,12.2
56,56.5,16.1,9.6,82.1,12.2
57,57.3,16.0,8.0,81.3,12.3
58,55.1,16.1,8.2,79.4,12.6
59,54.9,16.0,9.0,79.9,12.5
60,54.6,16.1,8.8,79.5,12.6
61,55.6,15.9,9.0,80.5,12.4
62,56.5,16.2,9.9,82.6,12.1
63,56.8,15.9,8.3,81.1,12.3
64,54.8,16.1,9.1,79.9,12.5
65,57.8,16.0,8.1,81.9,12.2
66,55.2,16.3,8.2,79.7,12.5
67,55.2,16.0,9.0,80.3,12.5
68,55.9,16.2,8.0,80.1,12.5
69,50.0,16.1,9.0,75.1,13.3
70,55.2,16.5,8.8,80.5,12.4
71,57.4,15.9,8.1,81.4,12.3
72,55.9,16.2,9.0,81.1,12.3
73,56.5,16.1,8.0,80.5,12.4
74,55.2,16.3,8.2,79.7,12.5
75,56.2,15.9,8.2,80.3,12.4
76,54.7,16.3,9.0,80.1,12.5
77,59.0,16.1,9.0,84.1,11.9
78,56.8,16.0,8.8,81.6,12.3
79,57.3,15.8,8.1,81.2,12.3
80,56.0,16.2,9.0,81.3,12.3
81,55.5,15.9,8.0,79.4,12.6
82,54.8,16.4,9.0,80.2,12.5
83,56.3,15.9,8.9,81.1,12.3
84,50.2,16.1,8.9,75.2,13.3
85,55.7,15.7,8.9,80.4,12.4
86,57.2,16.0,8.1,81.4,12.3
87,55.5,15.9,9.0,80.5,12.4
88,56.3,15.9,8.9,81.0,12.3
89,55.5,15.9,8.1,79.4,12.6
90,57.0,16.1,9.1,82.1,12.2
91,56.9,15.9,8.3,81.2,12.3
92,58.9,16.1,8.3,83.3,12.0
93,55.3,16.1,8.2,79.6,12.6
94,54.9,16.1,8.2,79.2,12.6
95,56.1,15.9,9.1,81.2,12.3
96,57.0,16.0,9.6,82.6,12.1
97,57.4,16.0,9.2,82.6,12.1
98,59.7,16.1,8.0,83.8,11.9
99,50.3,16.0,8.2,74.5,13.4
100,55.6,16.3,9.1,81.0,12.3
101,55.4,16.0,8.3,79.7,12.5
102,57.3,16.2,8.2,81.7,12.2
103,56.1,16.1,8.2,80.5,12.4
104,58.8,16.3,8.2,83.2,12.0
105,55.4,16.1,9.1,80.6,12.4
106,56.3,16.1,10.3,82.8,12.1
107,56.2,15.9,9.2,81.3,12.3
108,56.3,16.2,8.0,80.5,12.4
109,54.8,16.0,8.2,79.0,12.7
110,56.0,16.4,9.2,81.6,12.3
111,56.4,16.0,8.3,80.8,12.4
112,54.8,16.3,8.2,79.3,12.6
113,54.6,16.0,8.2,78.7,12.7
114,54.8,16.4,8.2,79.5,12.6
115,56.1,16.1,9.2,81.4,12.3
116,56.2,16.0,9.7,81.9,12.2
117,57.5,16.1,9.0,82.6,12.1
118,57.6,16.0,9.0,82.6,12.1
119,57.2,16.1,8.0,81.3,12.3
120,55.8,16.2,9.1,81.1,12.3
121,49.9,16.1,8.3,74.3,13.5
122,56.2,16.1,8.2,80.5,12.4
123,55.5,16.0,8.2,79.8,12.5
124,56.4,16.1,8.2,80.7,12.4
125,55.1,15.9,9.1,80.1,12.5
126,57.3,16.1,9.8,83.2,12.0
127,58.2,16.1,9.0,83.3,12.0
128,55.9,15.9,9.0,80.9,12.4
129,60.3,16.2,9.1,85.6,11.7
130,57.0,16.0,9.1,82.0,12.2
131,55.5,16.1,9.3,80.9,12.4
132,57.5,16.0,9.2,82.7,12.1
133,56.2,16.0,8.0,80.1,12.5
134,54.9,16.1,9.0,80.1,12.5
135,55.7,16.1,8.9,80.7,12.4
136,50.3,16.2,8.9,75.3,13.3
137,56.2,16.0,8.9,81.1,12.3
138,55.4,16.3,8.9,80.5,12.4
139,56.2,15.9,8.9,80.9,12.4
140,56.9,16.3,8.9,82.1,12.2
141,58.0,16.1,8.9,83.0,12.0
142,55.2,16.2,8.9,80.3,12.5
143,54.6,16.1,8.1,78.8,12.7
144,54.7,15.9,9.0,79.6,12.6
145,57.1,15.9,9.0,82.0,12.2
146,55.4,15.9,8.9,80.2,12.5
147,54.5,16.0,8.1,78.6,12.7
148,55.4,16.0,8.2,79.6,12.6
149,55.8,16.0,8.2,80.0,12.5
150,55.3,15.9,9.1,80.3,12.5
151,52.4,16.0,8.1,76.6,13.1
152,56.4,15.9,8.2,80.5,12.4
153,58.2,16.1,9.1,83.4,12.0
154,58.8,16.1,8.9,83.7,11.9
155,57.5,16.1,8.1,81.7,12.2
156,55.7,16.1,9.0,80.9,12.4
157,56.3,16.1,9.0,81.3,12.3
158,56.6,15.9,8.9,81.4,12.3
159,54.9,16.1,8.9,79.8,12.5
160,55.8,16.1,8.1,79.9,12.5
161,55.1,16.1,9.0,80.3,12.5
162,56.6,15.9,8.9,81.5,12.3
163,57.6,16.2,9.0,82.7,12.1
164,56.9,16.0,9.0,81.8,12.2
165,57.0,16.1,8.1,81.2,12.3
166,57.0,16.1,8.2,81.4,12.3
167,54.8,16.1,8.2,79.1,12.6
168,56.3,15.9,8.2,80.5,12.4
169,55.3,16.2,8.3,79.7,12.5
170,55.9,16.0,8.2,80.1,12.5
171,55.4,16.1,8.2,79.7,12.5
172,55.3,16.1,8.2,79.6,12.6
173,51.4,16.1,9.1,76.6,13.1
174,55.9,16.1,8.9,80.9,12.4
175,56.4,16.1,8.9,81.4,12.3
176,56.2,16.2,8.9,81.4,12.3
177,55.8,16.0,8.9,80.8,12.4
178,56.8,16.1,8.8,81.7,12.2
179,57.2,16.1,8.9,82.2,12.2
180,54.9,16.2,8.0,79.1,12.6
181,55.6,16.2,9.0,80.8,12.4
182,56.2,16.1,8.9,81.2,12.3
183,60.3,16.3,16.7,93.3,10.7
184,57.8,16.0,15.4,89.1,11.2
185,56.5,16.1,14.3,86.9,11.5
186,56.3,15.9,15.4,87.6,11.4
187,55.2,16.3,9.1,80.6,12.4
188,57.2,16.1,13.9,87.2,11.5
189,56.7,16.1,15.6,88.4,11.3
190,57.0,16.1,15.7,88.7,11.3
191,56.0,16.0,9.0,81.0,12.3
192,58.8,16.1,8.9,83.7,11.9
