Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
0,946.3,13.4,9.1,968.8,1.0
1,56.0,10.0,5.2,71.1,14.1
2,56.8,10.0,5.2,72.1,13.9
3,56.8,9.9,5.3,72.1,13.9
4,55.8,9.9,5.2,71.0,14.1
5,56.1,9.9,5.2,71.1,14.1
6,55.3,9.8,5.2,70.3,14.2
7,55.7,10.0,5.2,70.9,14.1
8,55.2,9.9,5.2,70.2,14.2
9,55.7,9.9,5.2,70.8,14.1
10,55.4,10.0,5.2,70.6,14.2
11,56.5,9.9,5.2,71.7,14.0
12,55.7,9.9,5.2,70.7,14.1
13,55.7,9.9,5.2,70.8,14.1
14,55.6,9.8,5.2,70.7,14.2
15,55.7,9.9,5.2,70.8,14.1
16,55.3,9.9,5.2,70.4,14.2
17,56.0,9.9,5.2,71.1,14.1
18,55.4,9.9,5.2,70.5,14.2
19,55.8,9.9,5.1,70.8,14.1
20,55.2,9.8,5.2,70.3,14.2
21,56.0,9.9,5.2,71.1,14.1
22,55.2,9.8,5.2,70.2,14.2
23,55.1,9.8,5.2,70.1,14.3
24,54.7,9.8,5.1,69.6,14.4
25,55.3,9.8,5.2,70.3,14.2
26,54.4,9.9,5.2,69.5,14.4
27,55.1,9.8,5.2,70.1,14.3
28,55.2,9.9,5.2,70.3,14.2
29,55.1,9.9,5.2,70.1,14.3
30,55.8,9.9,5.2,70.8,14.1
31,55.2,9.9,5.2,70.3,14.2
32,54.2,10.0,5.2,69.4,14.4
33,54.6,9.8,5.2,69.6,14.4
34,55.4,9.9,5.2,70.4,14.2
35,55.2,9.9,5.2,70.3,14.2
36,54.8,9.9,5.2,69.9,14.3
37,55.7,9.9,5.2,70.7,14.1
38,55.3,9.9,5.2,70.4,14.2
39,56.3,9.8,5.2,71.3,14.0
40,55.2,10.0,5.3,70.4,14.2
41,55.6,9.9,5.1,70.6,14.2
42,55.2,9.9,5.2,70.3,14.2
43,56.0,9.9,5.2,71.1,14.1
44,54.8,9.8,5.2,69.8,14.3
45,55.9,9.8,5.2,70.9,14.1
46,55.1,10.0,5.2,70.3,14.2
47,56.0,9.9,5.2,71.1,14.1
