Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
0,946.3,13.4,9.1,968.8,1
1,68.5,4.8,3.4,76.7,13
2,58.7,4.6,3.4,66.8,15
3,55.7,4.6,3.4,63.8,15.7
4,57.4,4.7,3.4,65.4,15.3
5,56.6,4.6,3.4,64.5,15.5
6,55.8,4.6,3.4,63.8,15.7
7,56.8,4.6,3.4,64.8,15.4
8,56.3,4.6,3.4,64.3,15.5
9,56.9,4.7,3.4,64.9,15.4
10,56.2,4.7,3.4,64.3,15.6
11,56.3,4.7,3.3,64.3,15.5
12,56.5,4.6,3.4,64.5,15.5
13,56.9,4.6,3.4,64.9,15.4
14,56.7,4.6,3.4,64.7,15.5
15,55.8,4.6,3.4,63.8,15.7
16,56.9,4.6,3.4,64.9,15.4
17,57.1,4.6,3.4,65.1,15.4
18,56.9,4.6,3.4,64.9,15.4
19,56.4,4.6,3.4,64.3,15.6
20,55.6,4.6,3.4,63.6,15.7
21,57,4.6,3.4,65,15.4
22,57.2,4.7,3.4,65.3,15.3
23,55,4.7,3.4,63.1,15.9
24,55,4.6,3.4,63,15.9
25,56.7,4.7,3.4,64.8,15.4
26,54.8,4.6,3.4,62.8,15.9
27,55.2,4.6,3.4,63.1,15.8
28,54.9,4.5,3.4,62.8,15.9
29,54.9,4.7,3.4,63,15.9
30,55.9,4.6,3.4,63.9,15.7
31,54.9,4.5,3.4,62.8,15.9
32,55.8,4.6,3.4,63.7,15.7
33,54.9,4.6,3.4,62.9,15.9
34,54.6,4.7,3.4,62.7,15.9
35,56.6,4.6,3.4,64.6,15.5
36,54.9,4.7,3.4,63,15.9
37,55.1,4.6,3.4,63.1,15.9
38,54.9,4.6,3.4,62.9,15.9
39,54.4,4.6,3.4,62.3,16
40,55.8,4.6,3.4,63.8,15.7
41,55.2,4.7,3.4,63.3,15.8
42,55.3,4.6,3.4,63.4,15.8
43,54.8,4.6,3.4,62.8,15.9
44,54.7,4.6,3.4,62.7,16
45,55.9,4.6,3.4,63.9,15.7
46,54.9,4.7,3.4,62.9,15.9
47,55.7,4.6,3.4,63.7,15.7
48,55.1,4.6,3.4,63,15.9
49,54.9,4.6,3.4,62.8,15.9
50,55.8,4.6,3.4,63.7,15.7
51,52.8,4.6,3.4,60.8,16.4
52,56.4,4.5,3.4,64.3,15.6
53,55,4.6,3.4,63,15.9
54,55.8,4.5,3.4,63.7,15.7
55,55,4.5,3.4,62.9,15.9
56,54.5,4.6,3.4,62.5,16
57,56.1,4.6,3.4,64.1,15.6
58,55.3,4.6,3.4,63.3,15.8
59,55.4,4.5,3.4,63.3,15.8
60,55.1,4.5,3.4,63,15.9
61,54.9,4.7,3.4,63,15.9
62,56.5,4.6,3.4,64.5,15.5
63,55.9,4.6,3.4,63.9,15.6
64,54.4,4.6,3.4,62.5,16
65,56,4.6,3.4,64,15.6
66,55,4.6,3.5,63.1,15.9
67,55.6,4.6,3.4,63.6,15.7
68,54.9,4.6,3.4,62.9,15.9
69,54.5,4.6,3.4,62.6,16
70,56.3,4.7,3.4,64.3,15.5
71,54.9,4.7,3.4,63,15.9
72,55.4,4.7,3.4,63.5,15.7
73,57.3,4.6,3.4,65.3,15.3
74,55.1,4.7,3.4,63.1,15.8
75,55.2,4.7,3.4,63.2,15.8
76,56.4,4.7,3.4,64.5,15.5
77,55,4.6,3.5,63,15.9
78,55.8,4.6,3.4,63.8,15.7
79,56,4.6,3.4,64,15.6
80,55.1,4.6,3.4,63.1,15.8
81,55.8,4.6,3.4,63.8,15.7
82,55.3,4.6,3.4,63.4,15.8
