Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
0,535.1,7.1,313.8,856,1.2
1,32.1,7.5,11.6,51.2,19.5
2,24.9,7.3,154.1,186.3,5.4
3,20.5,4.5,193.9,218.9,4.6
4,19.7,4.5,262.4,286.6,3.5
5,21.4,5.9,175.6,202.9,4.9
6,26.7,9,166.3,202,5
7,21.5,5.8,169.6,196.9,5.1
8,20.4,5.9,251.9,278.2,3.6
9,21.3,5.7,229.6,256.7,3.9
10,26.3,8.9,174.9,210.1,4.8
11,21.6,5.8,163.2,190.7,5.2
12,26.5,9.1,164.5,200.1,5
13,21.2,4.8,171.7,197.7,5.1
14,20.7,5.9,174.1,200.8,5
15,21.3,5.8,170.7,197.8,5.1
16,21.4,5.8,165.1,192.3,5.2
17,21.4,5.9,164.8,192.1,5.2
18,20.4,5.9,181.1,207.4,4.8
19,21.2,5.9,187.9,215,4.7
20,20.7,8.5,169.1,198.3,5
21,21.3,5.8,154.4,181.4,5.5
22,20.4,5.9,168.2,194.5,5.1
23,21.5,6,175.9,203.4,4.9
24,20.5,8.2,167,195.6,5.1
25,21.2,5.8,162.4,189.5,5.3
26,20.7,6,156.8,183.5,5.4
27,21.2,5.8,165.1,192.1,5.2
28,20.7,8.2,154.4,183.3,5.5
29,20.3,4.8,165.4,190.5,5.2
30,20.4,6,166.8,193.2,5.2
31,20.3,4.8,185.5,210.6,4.7
32,20.5,8.2,180.2,208.9,4.8
33,21.2,5.8,184.9,211.8,4.7
34,20.5,5.8,176.5,202.8,4.9
35,21.3,5.9,166.9,194.1,5.2
36,20.7,8.3,163.4,192.3,5.2
37,21.2,5.9,150.1,177.3,5.6
38,20.5,5.9,169.9,196.3,5.1
39,21.1,5.8,173.9,200.7,5
40,20.6,8.4,174.3,203.4,4.9
41,21.3,5.8,153.8,180.9,5.5
42,20.8,6.1,171,197.9,5.1
43,21.2,5.8,155.8,182.8,5.5
44,20.6,8.4,152.6,181.6,5.5
45,20.2,4.8,175.5,200.4,5
46,20.9,5.8,156.2,183,5.5
47,21.4,6.3,152.6,180.3,5.5
48,20.8,5.9,155.6,182.4,5.5
49,21.3,5.9,211.7,239,4.2
50,20.6,5.8,133.2,159.6,6.3
51,21.2,5.9,155.3,182.3,5.5
52,20.7,5.9,164.9,191.6,5.2
53,21.5,5.8,149.8,177.1,5.6
54,20.7,5.9,157.9,184.5,5.4
55,21.4,5.8,214.1,241.4,4.1
56,20.3,5.9,159,185.2,5.4
57,21,5.8,156.3,183.1,5.5
58,20.8,6,170,196.7,5.1
59,21.1,5.9,159.1,186,5.4
60,20.8,5.9,158.5,185.1,5.4
61,20.3,4.9,182.1,207.3,4.8
62,20.7,5.9,176.8,203.4,4.9
63,21.3,5.9,168.7,196,5.1
64,21,5.9,146.6,173.4,5.8
65,21.3,5.9,213.7,240.9,4.2
66,20.7,5.9,146.4,173.1,5.8
67,21.1,5.9,162.3,189.3,5.3
68,20.7,5.9,164.5,191.1,5.2
69,21.4,5.9,162.1,189.3,5.3
70,20.8,5.9,213.3,240,4.2
71,21.2,5.9,136.8,163.8,6.1
72,20.6,5.9,147.1,173.6,5.8
73,21.2,5.9,163,190,5.3
74,20.5,5.8,162.6,188.9,5.3
75,21.3,5.8,162.3,189.4,5.3
76,21.1,6,199.1,226.2,4.4
77,20.2,5.3,148.9,174.4,5.7
78,20.7,5.9,163.6,190.3,5.3
79,21.5,5.9,160.5,187.9,5.3
80,20.8,8.3,188.8,218,4.6
81,21,5.8,163.7,190.6,5.2
82,20.4,5.8,162.3,188.5,5.3
83,21.2,5.9,164.2,191.3,5.2
84,20.5,8.2,145.6,174.4,5.7
85,21.1,5.8,178.6,205.6,4.9
86,20.6,5.9,150.3,176.8,5.7
87,21.3,5.8,146.7,173.9,5.8
88,20.4,8.2,159.2,187.9,5.3
89,20.9,5.8,170.7,197.5,5.1
90,20.8,6,138.6,165.4,6
91,20.4,4.8,186.1,211.3,4.7
92,20.7,8.3,178.9,207.9,4.8
93,20.4,4.8,158.5,183.8,5.4
94,20.7,6,167.5,194.2,5.1
95,21.3,5.8,150.1,177.3,5.6
96,20.7,8.4,188.1,217.2,4.6
97,21.5,5.9,141,168.3,5.9
98,20.7,5.9,146.8,173.5,5.8
99,21.3,5.8,167.1,194.2,5.1
100,20.7,8.3,147,175.9,5.7
101,21.2,5.9,185.5,212.6,4.7
102,20.6,6,146.6,173.1,5.8
103,21.4,5.9,187,214.3,4.7
104,20.6,8.3,141.6,170.5,5.9
105,21.3,5.9,146.2,173.4,5.8
106,21,5.8,233,259.8,3.8
107,21.3,6,144.3,171.5,5.8
