Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
0,564.2,5.1,191.6,761.0,1.3
1,32.1,4.5,6.0,42.6,23.5
2,26.2,4.6,12.6,43.4,23.0
3,24.7,4.4,24.2,53.3,18.8
4,20.1,2.9,60.5,83.4,12.0
5,20.6,3.0,98.3,121.9,8.2
6,20.3,3.1,81.7,105.1,9.5
7,20.8,3.5,84.6,108.9,9.2
8,20.3,3.6,86.2,110.1,9.1
9,20.4,3.0,81.0,104.4,9.6
10,20.3,2.9,85.0,108.2,9.2
11,20.3,3.3,80.9,104.6,9.6
12,20.4,2.9,82.1,105.4,9.5
13,20.3,2.9,78.2,101.4,9.9
14,20.6,3.0,83.9,107.5,9.3
15,20.8,3.0,71.8,95.5,10.5
16,19.7,2.9,96.1,118.7,8.4
17,20.5,3.0,87.8,111.3,9.0
18,20.0,2.9,73.5,96.4,10.4
19,20.6,3.9,79.0,103.5,9.7
20,20.8,3.9,90.2,114.9,8.7
21,20.4,3.0,55.1,78.6,12.7
22,20.2,3.3,93.3,116.8,8.6
23,20.4,3.5,124.6,148.6,6.7
24,20.4,2.9,60.5,83.8,11.9
25,20.3,2.9,85.7,109.0,9.2
26,25.6,4.4,64.7,94.7,10.6
27,25.6,4.5,91.6,121.7,8.2
28,25.9,4.5,57.6,88.0,11.4
29,25.8,4.5,70.4,100.7,9.9
30,25.4,4.5,72.7,102.6,9.7
31,25.4,4.4,73.1,102.9,9.7
32,25.3,4.5,76.0,105.8,9.4
33,25.4,4.5,109.0,138.9,7.2
34,25.1,4.5,49.3,78.8,12.7
35,25.9,4.8,72.2,102.9,9.7
36,25.4,4.5,76.4,106.4,9.4
37,25.2,4.5,75.9,105.6,9.5
38,25.1,4.6,80.3,110.0,9.1
39,25.1,4.5,71.4,101.0,9.9
40,24.9,4.5,81.5,110.9,9.0
41,25.0,4.6,52.9,82.5,12.1
42,24.8,4.4,78.9,108.1,9.3
43,24.8,4.5,77.6,106.8,9.4
44,24.8,4.6,59.3,88.7,11.3
45,24.0,4.4,81.4,109.8,9.1
46,23.7,4.4,87.0,115.1,8.7
47,25.3,4.7,53.9,83.9,11.9
48,24.9,4.5,56.9,86.3,11.6
49,24.6,4.5,69.3,98.5,10.2
50,24.8,4.6,61.0,90.4,11.1
51,24.8,4.5,75.0,104.3,9.6
52,25.0,4.5,62.5,92.0,10.9
53,25.1,4.6,59.0,88.7,11.3
54,25.0,4.5,69.1,98.6,10.1
55,24.7,4.5,61.5,90.7,11.0
56,25.3,4.6,60.0,89.9,11.1
57,25.0,4.5,77.8,107.3,9.3
58,25.2,4.4,55.0,84.6,11.8
59,25.0,4.6,60.4,90.0,11.1
60,25.0,4.5,56.4,85.8,11.7
61,24.9,4.5,60.8,90.2,11.1
62,25.3,4.6,83.9,113.7,8.8
63,25.1,4.5,59.8,89.4,11.2
64,24.8,4.4,79.7,108.9,9.2
65,24.9,4.7,48.7,78.3,12.8
66,25.2,4.5,70.1,99.8,10.0
67,25.2,4.6,59.8,89.6,11.2
68,24.9,4.6,46.5,76.0,13.2
69,23.9,4.4,54.8,83.1,12.0
70,23.6,4.4,55.3,83.2,12.0
71,23.8,4.5,61.2,89.6,11.2
72,24.0,4.4,64.5,92.8,10.8
73,23.6,4.3,62.0,90.0,11.1
74,23.7,4.4,61.7,89.8,11.1
75,23.0,4.3,60.8,88.1,11.4
76,22.6,4.3,62.0,88.9,11.2
77,24.0,4.4,55.5,83.9,11.9
78,20.1,2.9,62.4,85.3,11.7
