Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
0,612.7,5.0,77.3,695.0,1.4
1,35.0,1.6,2.8,39.4,25.4
2,20.5,1.5,2.8,24.9,40.2
3,19.8,4.0,2.8,26.6,37.6
4,19.3,1.5,2.8,23.6,42.4
5,19.3,1.6,2.8,23.7,42.3
6,19.2,4.1,2.7,26.1,38.4
7,19.0,1.6,2.8,23.3,42.8
8,19.4,1.6,2.7,23.7,42.2
9,19.1,4.1,2.8,26.1,38.4
10,19.1,1.5,2.7,23.4,42.8
11,19.0,1.6,2.7,23.4,42.7
12,18.7,3.8,2.8,25.2,39.6
13,18.4,1.6,2.8,22.7,44.1
14,18.1,1.6,2.7,22.4,44.6
15,18.4,4.1,2.7,25.1,39.8
16,18.0,1.5,2.8,22.2,45.0
17,17.9,1.6,2.7,22.1,45.3
18,17.9,3.9,2.7,24.6,40.7
19,17.9,1.5,2.8,22.2,45.0
20,18.1,1.6,2.7,22.4,44.6
21,18.1,4.5,2.8,25.3,39.5
22,19.9,1.9,2.9,24.7,40.5
23,19.7,1.9,2.9,24.6,40.7
24,18.4,3.8,2.7,25.0,40.0
25,18.1,1.6,2.7,22.4,44.6
26,18.0,1.5,2.7,22.2,45.0
27,17.8,4.0,2.7,24.5,40.8
28,18.0,1.5,2.7,22.1,45.2
29,17.8,1.5,2.7,22.1,45.3
30,18.1,3.8,2.6,24.5,40.7
31,18.1,1.5,2.7,22.2,45.0
32,18.2,1.6,2.7,22.5,44.5
33,18.0,4.0,2.7,24.6,40.6
34,18.1,1.5,2.7,22.4,44.7
35,17.9,1.5,2.7,22.1,45.3
36,17.9,4.0,2.7,24.6,40.7
37,17.9,1.5,2.7,22.1,45.3
38,18.0,1.5,7.6,27.1,36.9
39,17.9,4.0,2.7,24.6,40.7
40,17.9,1.5,14.3,33.7,29.7
41,18.0,1.6,2.7,22.2,45.0
42,17.9,4.0,8.0,29.9,33.5
43,18.0,1.5,21.0,40.5,24.7
44,18.2,1.5,2.7,22.4,44.6
45,18.1,3.9,5.7,27.8,36.0
46,17.8,1.4,25.8,45.0,22.2
47,18.2,1.8,2.8,22.7,44.0
48,18.5,4.0,2.8,25.3,39.5
49,18.5,1.5,7.4,27.3,36.6
50,17.8,1.5,28.1,47.4,21.1
51,18.0,3.9,2.7,24.5,40.8
52,18.5,1.6,2.8,22.9,43.7
53,18.5,1.7,2.8,23.0,43.5
54,18.2,4.0,2.7,24.8,40.2
55,17.8,1.5,3.3,22.7,44.1
56,17.8,1.6,22.4,41.8,23.9
57,18.3,3.8,2.6,24.8,40.4
58,17.9,1.5,7.5,26.9,37.1
59,18.0,1.5,2.6,22.2,45.0
60,17.8,4.0,32.0,53.8,18.6
61,18.5,1.7,2.8,23.0,43.5
62,18.5,1.7,13.8,34.0,29.4
63,18.6,4.3,2.8,25.7,38.9
64,18.7,1.7,7.5,27.9,35.9
65,18.9,2.0,16.9,37.8,26.5
66,18.0,4.0,2.7,24.7,40.5
67,17.9,1.5,14.5,33.9,29.5
68,18.1,1.6,21.1,40.8,24.5
69,18.8,4.7,12.9,36.5,27.4
70,18.5,1.7,2.8,23.0,43.5
71,18.5,1.7,12.3,32.6,30.7
72,18.9,4.7,8.5,32.0,31.2
73,18.6,1.6,2.8,23.0,43.5
74,18.6,1.8,2.8,23.2,43.1
75,18.6,4.0,8.2,30.8,32.5
76,17.9,1.5,4.9,24.4,41.0
77,17.9,1.5,20.6,40.1,24.9
78,17.8,3.8,2.7,24.3,41.2
79,17.9,1.5,16.9,36.3,27.6
80,17.9,1.5,2.7,22.1,45.2
81,18.0,4.0,15.1,37.1,27.0
82,18.0,1.5,2.7,22.1,45.2
83,17.7,1.5,23.2,42.4,23.6
84,18.6,4.2,2.8,25.6,39.1
85,18.5,1.6,8.0,28.2,35.5
86,18.8,1.7,2.7,23.3,42.9
87,18.3,3.8,2.6,24.8,40.4
88,17.8,1.5,6.2,25.5,39.2
89,18.1,1.6,2.7,22.3,44.8
90,17.9,4.0,12.4,34.3,29.2
91,17.9,1.5,2.7,22.0,45.4
92,18.1,1.6,18.5,38.1,26.2
93,18.7,4.3,2.8,25.7,38.9
94,19.2,1.9,7.9,29.0,34.4
95,17.8,1.5,2.7,22.0,45.4
96,17.8,4.0,2.7,24.5,40.8
97,18.1,1.5,8.3,27.9,35.9
98,18.0,1.6,2.7,22.2,45.0
99,17.8,4.0,11.6,33.4,29.9
100,17.9,1.5,2.7,22.1,45.3
101,18.0,1.6,16.7,36.3,27.6
102,18.1,4.0,2.7,24.9,40.1
103,18.1,1.5,2.7,22.2,45.0
104,17.9,1.6,7.3,26.7,37.4
105,18.3,4.0,2.7,24.9,40.1
106,17.7,1.4,14.1,33.3,30.0
107,18.0,1.5,2.7,22.2,45.1
108,18.0,3.9,5.5,27.4,36.6
109,18.6,1.5,23.7,43.7,22.9
110,18.3,1.8,2.8,22.9,43.7
111,18.8,4.3,2.8,25.8,38.7
112,18.6,1.6,2.8,23.0,43.5
