Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
0,410.2,19,15.1,444.4,2.3
1,24.74,15.66,8.25,48.66,21.98
2,22.2,16.54,8.22,46.97,20.93
3,24.23,16.18,8.27,48.69,22.4
4,21.66,16.14,8.18,45.98,21.18
5,23.42,16.15,8.08,47.65,20.26
6,22.02,16.48,8.18,46.68,22.71
7,22.46,15.97,8.21,46.64,20.4
8,23.84,16.09,8.17,48.1,21.73
9,22.26,15.99,8.23,46.47,21.56
10,22.54,15.59,8.2,46.33,19.97
11,22.09,16.21,8.18,46.48,20.34
12,23.28,15.78,8.28,47.34,21.41
13,23.46,15.99,8.2,47.64,20.75
14,24.98,16.74,8.28,50,21.11
15,22.02,16.64,8.25,46.9,20.44
16,25.82,16.47,8.26,50.56,21.78
17,23.25,16.12,8.23,47.6,21.99
18,25.84,15.54,8.24,49.61,22.67
19,20.87,15.94,8.11,44.92,21.43
20,23.34,16.36,8.2,47.9,21.65
21,21.13,16.27,8.19,45.59,19.7
22,24,15.95,8.25,48.2,20.6
23,20.03,15.78,8.06,43.87,20.06
24,22.97,16.04,8.13,47.15,21.9
25,25.24,15.83,8.2,49.27,20.46
26,19.23,16.09,8.19,43.51,21.46
27,25.29,15.71,8.35,49.35,22.14
28,20.94,16.47,8.12,45.53,22.47
29,21.33,16.91,8.23,46.46,21.73
30,24.13,15.81,8.25,48.19,20.6
31,26.78,15.95,8.27,51,20.68
32,25.88,15.13,8.2,49.21,22.54
33,26.94,15.57,8.28,50.79,22.27
34,22.39,16.29,8.16,46.84,21.3
35,25.54,15.66,8.32,49.52,19.37
36,18.92,15.52,8.05,42.49,21.27
37,24.17,15.83,8.19,48.18,20.65
38,21.72,15.56,8.17,45.44,21.26
39,25.02,15.88,8.29,49.19,22.16
40,20.05,15.83,8.14,44.02,20.44
41,20.61,15.88,8.15,44.65,21.55
42,26.36,15.88,8.28,50.52,21.13
43,22.16,15.51,8.19,45.87,21.87
44,23.06,16,8.09,47.15,21.84
45,23.78,16.62,8.18,48.58,23.09
46,25.45,15.67,8.21,49.33,22.49
47,24.94,16.44,8.22,49.61,21.47
