Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
0,393.8,12.4,8.7,414.8,2.4
1,20.93,10.21,5.2,36.35,28.34
2,20.83,9.8,5.16,35.79,26.61
3,22.49,9.66,5.21,37.35,25.55
4,18.6,9.86,5.08,33.54,24.97
5,21.38,9.47,5.11,35.97,26.59
6,22.96,9.45,5.28,37.68,26.84
7,21.78,9.53,5.21,36.52,27.67
8,26.37,9.78,5.37,41.53,27.85
9,25.76,10,5.35,41.11,28.33
10,19.74,10.06,5.09,34.89,25.16
11,21.18,9.54,5.13,35.85,26.73
12,23.62,9.8,5.31,38.73,27.4
13,25.25,9.84,5.35,40.44,27.48
14,20.68,10.04,5.13,35.85,25.31
15,24.25,8.98,5.25,38.48,26.39
16,18.6,9.61,5.14,33.35,27.12
17,24.53,9.54,5.28,39.35,26.45
18,22.62,9.37,5.19,37.18,25.1
19,22.98,10.04,5.25,38.28,28.94
20,22.91,9.66,5.27,37.83,25.35
21,19.73,9.97,5.15,34.85,28.68
22,22.49,9.37,5.23,37.09,29.1
23,21.29,9.82,5.12,36.23,27.97
24,23.69,10.19,5.24,39.11,24.56
25,21.18,9.85,5.18,36.2,27.87
26,26.47,9.94,5.38,41.79,29.24
27,23.82,9.45,5.3,38.57,26.48
28,24.21,9.28,5.36,38.86,26.75
29,24.87,9.68,5.27,39.82,25.15
30,24.77,9.41,5.34,39.52,27.31
31,21.19,10.1,5.16,36.45,27.17
32,23.88,9.71,5.29,38.88,26.93
33,22.55,9.76,5.23,37.54,28.65
34,20.89,10.03,5.18,36.1,26.71
35,20.64,9.12,5.12,34.88,27.6
36,22.67,10.05,5.3,38.02,27.11
37,22.44,9.7,5.15,37.28,28.66
38,23.82,9.78,5.34,38.93,24.81
39,23.33,9.21,5.28,37.83,27.15
40,22.95,10.1,5.27,38.32,25.89
41,20.38,9.6,5.1,35.08,25.2
42,22.47,9.79,5.18,37.45,27.01
43,19.14,9.41,5,33.55,27.15
44,21.4,9.39,5.12,35.9,26.66
45,23.97,9.87,5.4,39.23,27.49
46,23.61,9.93,5.33,38.87,25.88
