Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
0,479.1,6.5,5.3,491,2
1,16.38,4.75,3.36,24.5,30.89
2,23.44,4.93,3.23,31.61,33.33
3,21.85,4.27,3.34,29.47,30.22
4,25.76,4.02,3.35,33.13,30.68
5,17.57,4.69,3.54,25.79,34.15
6,23.87,4.2,3.38,31.45,35.15
7,24.87,4.6,3.51,32.98,32.01
8,25.49,4.64,3.53,33.66,29.74
9,24.87,3.91,3.46,32.24,30.67
10,24.92,4.48,3.38,32.77,31.87
11,22.57,4.59,3.39,30.54,31.71
12,20.33,4.04,3.42,27.8,31.05
13,23.42,4.36,3.31,31.09,31.01
14,21.94,4.67,3.33,29.94,31.2
15,19.7,4.18,3.35,27.23,35.27
16,20.81,4.92,3.43,29.16,30.79
17,21.32,4.21,3.4,28.93,32.21
18,28.94,3.88,3.4,36.21,28.25
19,26.18,4.48,3.33,33.99,33.55
20,22.01,4.55,3.48,30.04,31.7
21,22.13,4.75,3.39,30.27,30.77
22,21.56,4.49,3.33,29.37,26.63
23,24.1,4.67,3.3,32.07,36.25
24,24.89,4.6,3.27,32.76,33.09
25,22.15,4.39,3.41,29.95,33.15
26,22.47,4.6,3.39,30.47,28.58
27,27.17,4.61,3.4,35.18,34.43
28,20.46,4.29,3.23,27.99,31.64
29,28.66,4.31,3.36,36.33,28.86
30,24.2,4.29,3.32,31.81,31.42
31,23.47,4.36,3.46,31.29,36.27
32,25.64,4.32,3.35,33.32,30.51
33,18.73,4.31,3.39,26.44,34.14
34,26.1,4.83,3.24,34.18,29.09
35,26.1,4.29,3.32,33.71,33.03
36,24.44,4.18,3.59,32.21,32.98
37,22.71,4.42,3.22,30.34,29.92
38,32.08,4.21,3.61,39.9,32.03
39,23.72,4.37,3.44,31.54,29.86
40,16.52,4.16,3.39,24.07,32.56
41,22.64,4.41,3.48,30.54,32.03
42,26.07,4.28,3.38,33.73,29.19
43,22.9,4.22,3.36,30.48,30.95
44,25.39,4.39,3.5,33.29,30.19
45,19.08,4.4,3.43,26.92,27.05
46,22.25,4.21,3.45,29.92,30.01
47,19.27,4.71,3.32,27.3,29.99
48,23.28,4.53,3.38,31.18,32.63
49,27.82,4.43,3.33,35.58,32.04
50,25.92,4.22,3.39,33.53,26.28
51,25.06,4.68,3.26,33,33.77
52,28.69,4.72,3.28,36.69,27.29
53,26.92,4.28,3.51,34.71,32.07
54,25.87,4.39,3.4,33.65,33.3
55,21.05,4.52,3.25,28.82,25.69
56,28.11,4.64,3.22,35.98,30.05
57,24.13,4.78,3.36,32.27,32.12
