Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
0,408.7,11.7,18.8,439.1,2.3
1,10.8,5.4,511.2,527.4,1.9
2,9.2,6.3,11.9,27.4,36.5
3,14.78,3.86,155.44,174.07,6.29
4,12.74,3.73,86.87,103.33,5.44
5,14.62,3.88,226.35,244.85,3.53
6,12.75,3.83,98.21,114.79,9.9
7,11.29,3.98,133.92,149.19,6.22
8,13.49,3.36,357.46,374.31,4.99
9,12.63,3.82,155.12,171.57,4
10,15.02,4.12,248.25,267.39,4.33
11,12.49,3.8,251.66,267.95,8.08
12,15.25,4.19,345.96,365.39,5.76
13,13.38,4.27,123.71,141.36,0.01
14,11.17,3.98,408.77,423.92,7.04
15,14.02,3.48,71.41,88.91,4.85
16,15.2,3.9,145.48,164.58,2.39
17,10.66,3.21,191.37,205.24,5.61
18,13.28,4.05,259.6,276.93,9.55
19,16.55,3.71,72.1,92.36,0.33
20,11.81,4.2,420.07,436.08,3.49
21,12.57,3.14,359.06,374.77,8.93
22,14.38,3.67,343.12,361.16,6.55
23,14.78,3.6,254.01,272.39,2.62
24,13.24,3.97,165.21,182.42,6.1
25,14.59,3.63,207.26,225.49,2.27
26,14.09,3.6,71.91,89.59,0.97
27,14.47,3.94,325.8,344.2,7.75
28,10.68,3.52,279.45,293.65,1.19
29,16.96,4.03,330.16,351.14,7.31
30,14.33,3.05,225.72,243.1,6.44
31,12.33,4.34,381.94,398.62,8.67
32,12.81,3.69,99.77,116.28,8.54
33,10.85,4.16,167.94,182.96,2.28
34,10.29,4.05,327.14,341.48,4.85
35,12.57,4.12,285.56,302.26,3.04
36,10.41,3.9,308.58,322.89,1.89
37,9.8,3.92,156.31,170.03,5.89
38,14.3,4.22,177.32,195.84,5.86
39,13.73,4.5,575.12,593.35,1.81
40,14.67,3.72,196.24,214.63,3.89
41,14.88,3.4,142.44,160.72,4.37
42,12.4,4.11,336.28,352.79,6.31
43,12.68,3.8,125.61,142.08,4.86
44,15.2,4.18,329.59,348.97,5.32
45,15.68,3.81,398.95,418.44,7.27
46,13.25,4.4,154.42,172.07,5.56
47,13.97,4.53,158.08,176.58,4.64
48,14.96,3.43,210.71,229.1,6.18
49,13.98,4.4,138.38,156.76,3.94
50,11.58,3.84,601.33,616.74,8.93
51,15.49,3.58,185.3,204.37,4.16
52,18.28,4.1,150.59,172.97,5.71
53,12.21,3.48,161.75,177.44,3.08
54,13.75,3.85,98.61,116.21,5.77
55,14.73,4.03,216.37,235.13,4.62
56,15.43,3.67,468.67,487.76,7.1
57,12.54,3.89,217.41,233.83,4.21
58,11.09,4.48,327.35,342.92,1.43
59,15.26,3.82,361.46,380.54,7.3
60,13.39,3.69,57.95,75.04,2.17
61,14.99,4.02,89.41,108.42,5.38
62,13.57,4.58,208.68,226.82,5.65
63,9.51,3.64,382.29,395.44,2.4
64,10.12,3.72,151.95,165.8,6.44
65,15.28,3.76,406.2,425.24,2.19
66,15.64,3.9,223.18,242.72,9.04
67,12.33,4.19,294.74,311.26,2.8
68,11.4,3.71,382.87,397.98,1.98
69,13.1,4.3,305.08,322.48,7.66
70,13.21,3.98,108.42,125.61,5.28
71,14.81,4.56,284.6,303.98,6.15
72,16.34,3.2,224.77,244.3,7.67
73,13.52,4.5,168.26,186.27,1.42
74,12.22,2.98,237.86,253.07,7.95
75,12.77,4.1,189.23,206.1,6.6
76,11.84,4.06,108.24,124.14,5.98
77,12.36,4.43,424.37,441.16,6.05
78,15.98,3.57,110.3,129.84,7.67
79,16.07,4.02,590.49,610.59,3.3
80,12.73,3.53,165.13,181.39,3.22
81,12.23,3.65,252.74,268.62,4.29
82,11.08,4.35,78.74,94.17,5.32
83,10.71,3.17,203.82,217.69,4.48
84,13.67,3.91,217.13,234.71,7.19
85,13.64,3.93,667.28,684.84,5.05
86,8.84,3.18,147.56,159.58,6.86
87,10.02,4.37,220.91,235.29,6.69
88,18.8,4.23,119.48,142.51,0.95
89,13.28,4.01,301.72,319.01,3.84
90,9.07,4.14,447.78,461,0.16
91,12.88,4.31,95.79,112.98,7.3
92,15.27,4.14,190.69,210.1,4.18
93,9.89,4.07,287.98,301.94,2.32
94,11.27,3.9,293.95,309.12,5.47
95,11.72,4.12,218.5,234.34,6.12
96,17.66,3.84,179.09,200.59,5.97
97,15.02,3.77,241.23,260.02,2.4
98,12.25,3.46,521.48,537.2,2.71
99,16.26,3.93,246.5,266.69,8.45
100,13.72,3.16,247.92,264.79,6.79
101,14.39,3.98,212.54,230.92,4.73
102,11.78,4.28,82.3,98.36,3.47
103,16.65,4.05,355.32,376.02,5.92
104,10.84,4.51,286.07,301.42,0.01
105,13.98,3.7,193.47,211.16,7.71
106,10.23,3.9,303.82,317.95,10.16
107,15.3,3.92,102.91,122.13,0.33
108,13.56,3.85,571.99,589.41,0.01
109,14.95,3.75,98.99,117.68,5.25
