Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
0,407.8,6,175.7,589.5,1.7
1,10.9,3,4.7,18.6,53.9
2,11.89,2.23,64.76,78.88,6.3
3,14.48,2.61,47.75,64.84,12.32
4,13.92,2.46,60.68,77.06,10.52
5,12.9,2.54,57.84,73.28,9.45
6,15.31,2.27,80.38,97.96,11.87
7,13.89,2.43,76.23,92.55,12.17
8,16.75,2.68,49.38,68.81,9.72
9,13.94,2.61,52.47,69.02,16.01
10,12.6,2.19,52.39,67.19,14.23
11,16.03,2.86,61.89,80.78,15.99
12,17.38,2.51,57.09,76.97,8.51
13,15.06,2.2,82.61,99.86,14.62
14,14.99,1.89,105.19,122.07,8.64
15,16.27,2.31,63.89,82.47,7.76
16,10.62,2.3,85.01,97.93,12.37
17,13.23,2.11,82.85,98.18,11.79
18,12.63,2.69,60.64,75.97,8.01
19,15.81,2.57,72.5,90.87,7.36
20,12.85,2.66,70.76,86.27,9.45
21,11.9,2.35,80.25,94.5,13.75
22,12.09,2.6,56.24,70.94,12.17
23,13.53,2.26,67.2,82.99,14.75
24,15.26,2.9,62.8,80.95,9.73
25,11.18,2.55,105.19,118.92,7.53
26,12.44,2.42,68.95,83.81,12.65
27,15.27,2.63,85.69,103.59,11.65
28,13.24,2.34,66.65,82.23,12.39
29,14.19,2.77,63.29,80.25,10.16
30,12.18,2.86,78.13,93.17,7.92
31,13.66,2.31,60.84,76.81,9.32
32,14.55,2.52,72.6,89.68,10.29
33,14.45,2.9,67.17,84.51,10.41
34,14.99,2.63,77.78,95.4,12.23
35,15.65,2.75,66.57,84.96,11.88
36,13.13,2.43,74.92,90.48,10.19
37,12.19,2.43,59.54,74.16,9.47
38,10.58,2.64,46.82,60.04,8.35
39,13.74,2.33,76.08,92.15,8.11
40,13.91,2.6,79.13,95.64,12.63
41,13.91,2.46,69.93,86.31,12.33
42,13.33,2.21,87.85,103.39,11.44
43,11.95,2.33,86.46,100.74,9.97
44,12.43,1.93,87.14,101.5,8.58
45,12.15,2.3,89.61,104.05,12.19
46,12.36,2.32,82.58,97.27,14.09
47,16.2,2.72,49.36,68.29,10.91
48,12.12,2.42,75.53,90.07,10.53
49,13.42,2.82,60.31,76.55,13.28
50,13.08,2.65,71.46,87.18,12
51,13.85,2.55,54.38,70.78,13.82
52,12.04,2.72,63.59,78.35,14.84
53,11.51,2.45,67.92,81.88,9.42
54,14.93,2.77,58.44,76.14,11.57
55,11.63,2.4,54.13,68.17,13.7
56,11.14,2.58,56.17,69.9,12.3
57,11.68,2.56,71.86,86.11,12.82
58,12.58,2.66,59.46,74.71,13.67
59,12.14,2.51,61.09,75.74,8.45
60,13.75,2.67,60.68,77.09,10.37
61,11.26,2.51,66.67,80.44,14.77
62,12.16,2.46,74.97,89.6,11.32
63,16.05,2.33,69.49,87.87,11.78
64,16.13,2.59,52.28,71,11.07
65,8.89,2.24,95.76,106.89,11.9
66,15.13,2.6,91.89,109.61,12.4
67,15.09,2.16,93.28,110.53,12.39
68,15.2,2.06,69.7,86.95,8.21
69,13.34,2.25,69.51,85.11,13.04
70,12.03,2.29,80.93,95.24,11.4
71,12.84,2.14,64.92,79.9,13
72,15.3,2.19,59.62,77.11,12.47
73,14.6,2.5,101.67,118.76,6.41
74,13.8,2.4,60.7,76.91,9.3
75,11.8,2.54,78.44,92.78,9.27
76,11.6,2.28,71.56,85.43,11.7
77,12.76,2.88,95.03,110.67,12.55
78,11.36,2.75,93.99,108.09,13.39
79,12.51,2.62,65.34,80.47,11.32
80,13.88,2.33,53.47,69.68,10.48
81,11.74,2.33,109.22,123.29,11.59
82,12.45,2.51,80.3,95.26,13.28
83,15.09,2.93,68.98,87,13.44
84,13.65,2.96,63.23,79.84,10.78
85,13.3,2.64,56.44,72.38,16.36
86,12.33,2.34,70.73,85.4,14.7
87,16.24,2.45,60.21,78.91,12.22
88,14.19,2.51,72.84,89.54,12.57
89,17.17,2.43,81.44,101.04,9.25
90,12.48,2.7,56.23,71.41,9.95
91,13.73,2.4,61.08,77.21,11.21
92,15.24,2.56,65.67,83.47,9.34
93,14.06,2.57,68.45,85.08,12.84
94,14.01,2.22,60.08,76.3,10.01
95,14.33,2.58,49.1,66.01,12.32
96,17.21,2.34,49.38,68.92,9.35
97,13.62,2.4,57.94,73.96,10.9
98,14.8,2.52,67.03,84.35,15.78
99,11.15,2.51,66.4,80.06,14.89
100,13.02,2.86,48.85,64.73,14.23
101,9.43,2.61,79.13,91.17,11.22
102,15.5,2.58,58.98,77.06,11.93
103,14.21,2.12,55.86,72.2,9.94
104,17.07,2.66,47.19,66.91,11.24
105,13.15,2.68,85.63,101.45,10.54
106,15.74,2.61,69.11,87.46,11.16
107,18.51,2.69,81.15,102.36,12.84
108,17.71,2.59,50.01,70.32,13
109,14.66,2.42,74.84,91.93,10.81
110,13.93,2.51,59.25,75.69,12.9
111,13.04,2.45,82.52,98.02,15.77
112,11.64,2.81,77.9,92.35,12.17
113,12.45,2.71,48.79,63.94,9.45
114,14.96,2.98,73.99,91.93,10.5
115,13.34,2.39,75.36,91.09,13.79
116,13.27,2.66,63.93,79.87,9.24
117,14.07,2.73,64.87,81.67,11.93
118,17.29,2.31,53.4,73,8.22
119,12.54,2.41,76.18,91.13,13.19
120,12.72,2.73,69.21,84.66,11.53
121,8.97,2.59,65.68,77.24,11.19
122,11.46,2.6,66.45,80.51,11.82
123,13.89,2.15,71.09,87.13,11.69
124,12.99,2.31,82.32,97.62,9.13
125,13.85,2.33,56.58,72.76,13.86
126,12.37,2.41,69.56,84.34,12.68
127,13.28,2.54,96.86,112.68,10.23
128,13.19,2.37,55,70.55,9.56
129,13.88,2.77,63.85,80.5,10.03
130,11.92,2.53,70.23,84.68,10.71
131,14.39,2.54,60.47,77.4,13.7
132,10.66,2.72,68.27,81.65,13.9
133,12.39,2.72,102.78,117.89,11.14
134,13.52,2.62,59.11,75.25,12.23
135,12.98,2.59,90.43,106.01,13.16
136,8.74,2.17,69.93,80.84,12.78
137,11.35,2.1,74.49,87.94,14.14
138,14.21,2.45,86.65,103.32,11.11
139,9.93,2.33,42.69,54.95,15.21
140,17.24,2.22,74.07,93.53,15.12
141,9.45,2.45,69.69,81.58,13.82
142,13.28,2.76,76.95,92.99,12.75
143,13.29,2.42,78.41,94.12,10.55
144,9.26,2.14,110.13,121.53,9.14
145,15.2,2.41,67.84,85.45,13.48
146,17.1,2.06,69.81,88.97,13.81
147,13.4,2.51,82.04,97.96,9.07
148,10.84,3,74.4,88.24,10.76
149,14.48,2.35,53.33,70.16,13.15
150,15.61,2.32,56.43,74.36,11.43
151,15.81,2.5,83.78,102.09,10.58
152,15.61,2.88,50.39,68.88,10.02
153,13.78,2.22,56.69,72.69,11.78
154,15.25,2.36,61.87,79.48,11.77
155,10.63,2.21,90.3,103.15,11.46
156,11.15,2.72,89.04,102.91,11.54
157,16.26,2.15,55.08,73.5,10.41
158,8.95,2.45,96.86,108.25,7.72
159,9.74,2.56,79.49,91.79,8.85
160,13.17,2.96,90.3,106.44,7.36
161,12.73,2.93,102.81,118.46,12.37
162,13.95,2.35,86.2,102.5,10.62
163,10.1,2.35,73.22,85.67,11.01
164,14.4,2.11,84.23,100.75,13.36
165,12.07,2.56,74.04,88.67,12.05
166,11.5,2.45,82.72,96.66,12.57
167,13.05,2.16,69.64,84.85,12.11
168,13.57,2.48,80.98,97.03,10.98
169,12.43,2.66,47.24,62.33,11.82
170,14.1,2.86,70.7,87.66,13.51
171,12.59,2.64,87.66,102.88,15.11
172,13.23,2.32,81.85,97.4,15.85
173,10.54,2.21,47.3,60.05,14.45
174,11.01,2.73,78.28,92.02,12.6
175,14.5,2.38,74.66,91.53,9.55
176,14.8,1.7,58.22,74.73,12.03
177,16.98,3.05,46.93,66.96,10.46
178,14.45,2.27,77.97,94.7,13.68
179,13.46,2.13,67.43,83.01,11.72
180,14.28,2.43,66.23,82.94,11.15
181,11.04,2.5,70.64,84.18,8.81
182,15.99,2.39,72.71,91.09,10.67
183,14.18,2.25,60.86,77.29,9.93
184,11.23,2.36,58.79,72.37,13.04
185,15.1,2.73,74.13,91.96,9.9
186,14.06,2.64,69.05,85.75,11.95
187,14.46,2.24,65.8,82.49,10.86
188,13.85,3.09,77.55,94.49,8.38
189,17.29,1.91,58.34,77.55,6.96
190,13.5,2.73,65.59,81.82,11.3
191,12.63,2.78,93.84,109.26,10.81
192,12.69,2.55,117.84,133.08,7.89
193,12.35,2.62,51.69,66.67,13.48
194,13.67,2.23,75.38,91.28,11.8
195,14,2.67,76.43,93.11,10.46
196,11.03,2.63,60.16,73.81,11.56
197,16.84,2.7,72.32,91.86,13.27
198,12.56,2.38,89.56,104.51,11.88
199,13.47,2.32,69.47,85.26,12.04
200,10.57,2.72,69.14,82.43,12.69
201,16.53,2.7,67.27,86.5,14.49
202,13.56,2.8,80.32,96.68,11.89
203,15.46,1.98,57.61,75.05,8.86
204,13.25,2.68,70.49,86.42,11.62
205,13.79,2.92,78.64,95.36,12.67
206,15.91,2.33,88.73,106.97,11.9
207,13.29,2.79,89.07,105.15,11.75
208,14.16,2.62,96.32,113.1,12.57
209,17.3,2.49,87.34,107.12,16.48
210,13.06,2.68,67.27,83,11.44
211,16.37,2.79,66.65,85.81,12.77
212,9.47,2.47,90.65,102.6,11.64
213,13.89,2.47,68.05,84.41,10.72
214,12.87,2.39,54.46,69.72,11.26
215,14.65,2.24,93.84,110.72,14.76
216,14.69,2.41,58.32,75.42,8.93
217,16.09,2.53,87.01,105.63,13.26
218,15.52,2.77,75.82,94.11,10.56
219,14.86,2.56,60.74,78.16,13.52
220,14.8,2.06,48.65,65.51,11.7
221,11.35,2.36,48.83,62.53,7.64
222,10.95,2.48,57.13,70.56,11.82
223,14.96,2.66,74.16,91.78,9.81
224,10.47,2.49,62.42,75.38,10.27
225,13.16,2.31,65.98,81.45,12.52
226,13.88,2.47,75.8,92.14,11.13
227,14.01,2.16,107.7,123.87,7.55
228,14.88,2.66,72.11,89.66,11.17
229,11.14,2.24,83.08,96.46,12.28
230,9.99,2.6,76.38,88.98,15.27
231,17.06,2.24,60.17,79.47,9.32
232,13.51,2.5,68.32,84.34,13.29
233,13.82,1.87,98.17,113.85,15.31
234,14.64,2.91,60.15,77.71,11.97
235,15.05,2.24,72.02,89.31,10.42
236,15.81,2.6,82.26,100.67,7.95
237,12.92,2.35,75.51,90.78,13.03
238,13.85,2.49,73.32,89.66,10.61
239,11.8,2.33,67.23,81.35,11.78
240,11.97,2.53,57.23,71.73,12.41
241,14.05,2.94,64.3,81.29,8.5
242,16.24,2.53,64.01,82.78,11.85
243,14.48,2.98,70.76,88.21,13.52
244,11.44,2.47,81.48,95.39,7.51
245,12,2.49,51.29,65.77,12.13
246,13.88,2.44,63.94,80.26,9.69
247,14.85,2.54,69.02,86.4,9.45
248,12.93,2.31,93.31,108.56,12.04
249,14.41,2.55,69.27,86.23,11.55
250,16.28,2.58,59.23,78.08,13.26
251,10.59,2.52,72.06,85.18,17.74
252,13.04,2.31,65.91,81.26,8.33
253,12.15,2.27,79.19,93.61,11.18
254,14.77,2.54,70.34,87.66,8.49
255,13.3,2.32,55.35,70.97,13.35
256,15.73,2.74,45.16,63.64,11.6
257,12.15,2.56,72.13,86.84,11.72
258,14.67,3.13,48.66,66.46,11.81
259,14.77,2.17,79,95.95,11.47
260,16.18,2.46,51.17,69.81,8.9
261,14.69,2.74,93.1,110.54,8.46
262,10.91,2.44,75.93,89.27,10.5
263,11.48,2.59,85.16,99.23,12.23
264,14.14,2.39,49.02,65.55,14.37
265,16.82,2.97,66.73,86.52,11.88
266,10.96,2.34,101.27,114.57,10.88
267,12.59,2.33,73.12,88.04,11.36
268,11.43,2.35,82.06,95.84,14.61
269,11.18,2.34,69.47,82.99,10.58
270,12.42,2.57,68.01,82.99,11.66
271,13.92,2.59,54.88,71.39,14.8
272,9.98,2.27,65.65,77.89,11.36
273,12.45,2.55,66.08,81.08,15.13
274,11.7,2.12,52.73,66.55,10.08
275,15.31,2.68,65.21,83.2,8.88
276,16.94,2.69,56.15,75.78,9.95
277,12.33,2.65,63.12,78.09,12.55
278,12.44,2.46,50.13,65.03,13.54
279,14.3,2.74,71.2,88.25,12.86
280,11.35,2.73,75.18,89.26,12.24
281,11.47,2.67,86.92,101.06,12.59
282,14,2.36,111.94,128.3,10.75
283,15.42,2.17,82.86,100.45,13.65
284,12.83,2.58,36.77,52.18,11.16
285,13.13,2.35,64.05,79.53,12.61
286,16.27,2.34,74.99,93.6,15.22
287,13.79,2.77,57.32,73.88,10.15
288,14.39,2.56,67.5,84.45,8.09
289,13.73,2.82,60.38,76.93,11.46
