Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
0,398.1,3.9,67.9,469.9,2.1
1,13.1,2.2,3.4,18.7,53.5
2,11.4,2.3,3.4,17.1,58.4
3,12.37,1.37,6.48,20.22,48.07
4,12.01,1.61,19.77,33.39,46.17
5,12.16,1.56,12.13,25.86,44.44
6,12.08,1.51,6.8,20.39,39
7,13.2,1.58,12.56,27.34,38.58
8,14.69,1.78,8.26,24.73,50.61
9,13.44,1.63,3.84,18.9,48.95
10,11.78,1.51,4.3,17.59,32.09
11,14.81,1.49,9.11,25.41,46.86
12,10.86,1.5,5.31,17.67,43.48
13,12.46,1.42,7.83,21.71,37.96
14,13.25,1.55,10.53,25.34,54.18
15,14.99,1.6,5.36,21.96,41.28
16,13.74,1.4,12.83,27.96,29.9
17,12.47,1.33,16.7,30.5,42.8
18,12.3,1.41,8.31,22.01,54.55
19,13.29,1.51,7.04,21.84,41.73
20,13.43,1.7,5.84,20.98,46.74
21,13.9,1.43,7.05,22.38,58.67
22,15.36,1.48,26.18,43.03,42.49
23,12.77,1.51,4.4,18.69,36.44
24,12.43,1.52,4.97,18.91,51.52
25,12.43,1.33,9.83,23.59,42.31
26,12.54,1.38,6.98,20.9,42.48
27,13.12,1.48,13.38,27.98,34.47
28,13.39,1.42,6.9,21.71,39.56
29,12.73,1.59,12.44,26.77,37.23
30,13.36,1.13,23.79,38.28,38.55
31,16.53,1.21,4.57,22.31,43.21
32,13.09,1.5,20.45,35.04,44.91
33,9.84,1.29,17.23,28.36,38.87
34,13.05,1.42,4.64,19.1,44.68
35,12.69,1.63,13.5,27.82,40.98
36,13.66,1.46,10.13,25.24,51.05
37,11.87,1.35,10.39,23.61,38.86
38,13.59,1.64,8.94,24.17,47.23
39,13.46,1.6,7.3,22.36,34.39
40,10.48,1.19,6.67,18.35,48.45
41,13.65,1.29,3.76,18.7,43.19
42,13.88,1.38,7.1,22.35,36.99
43,12.91,1.77,4.98,19.66,46.1
44,13.03,1.58,7.39,22.01,41.95
45,13.65,1.55,22.55,37.74,48.5
46,10.71,1.34,15.65,27.71,44.26
47,14.16,1.62,4.95,20.73,35.23
48,13.14,1.4,13.43,27.97,43.15
49,12.23,1.32,7.85,21.4,59.89
50,14.76,1.66,8.7,25.13,40.4
51,13.82,1.49,21.17,36.48,41.51
52,14.01,1.48,10.6,26.09,48.27
53,14.24,1.53,13.78,29.55,60.7
54,12.53,1.34,9.02,22.88,44.24
55,12.6,1.42,8.65,22.67,49.83
56,13.47,1.39,3.39,18.24,39.33
57,14.88,1.51,14.66,31.06,53.47
58,13.35,1.4,5.26,20.01,44.55
59,12.11,1.5,8.97,22.58,47.91
60,12.57,1.64,10.79,25,34.58
61,13.98,1.45,3.73,19.16,44.99
62,13.65,1.52,9.41,24.58,48.5
63,12.24,1.42,13.37,27.02,38.98
64,12.51,1.56,12.52,26.59,33.06
65,13.05,1.65,11.88,26.58,47.33
66,13.51,1.39,11.37,26.27,51
67,14.31,1.56,12.56,28.43,45.52
68,12.66,1.55,4.7,18.91,39.76
69,13.85,1.4,14.6,29.85,38.73
70,13.23,1.29,8.29,22.81,42.25
71,13.53,1.72,22.66,37.91,59.82
72,14.9,1.39,12.22,28.51,33.46
73,13.92,1.49,5.92,21.33,32.03
74,11.15,1.38,6.65,19.18,56.45
75,13.28,1.38,8.13,22.79,34.28
76,12.87,1.54,8.8,23.22,38.33
77,13.02,1.26,13.87,28.15,35.29
78,10.98,1.14,13.35,25.47,36.09
79,13.33,1.66,4.95,19.94,35.15
