Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
0,938,20,14.7,972.7,1
1,52.73,15.84,8.95,77.52,13
2,53.28,15.75,8.39,77.42,13.17
3,53.42,15.73,8.7,77.85,12.78
4,52.9,16.02,8.51,77.42,12.47
5,54.29,15.85,9.77,79.91,12.72
6,53.43,15.81,9.1,78.34,12.83
7,54.29,15.78,9.9,79.96,12.74
8,53.51,15.97,8.76,78.24,13.1
9,52.49,15.81,8.4,76.7,12.77
10,52.9,15.89,8.2,77,12.55
11,54.55,15.68,7.4,77.63,12.52
12,51.96,15.5,8.42,75.89,12.86
13,53.11,15.51,8.6,77.21,13.15
14,54.51,15.28,9.18,78.97,13.21
15,57.27,15.8,8.84,81.91,12.59
16,52.34,15.65,8.92,76.92,12.39
17,53.69,15.83,8.19,77.7,12.3
18,54.38,16.45,8.74,79.57,12.95
19,52.96,15.95,8.26,77.17,12.38
20,53.28,15.84,8.04,77.16,12.68
21,53.77,15.65,8.55,77.96,13.03
22,54.63,15.61,8.04,78.27,12.96
23,52.74,15.79,8.52,77.04,12.7
24,52.8,16.02,8.69,77.51,12.82
25,53.15,16.04,8.58,77.78,12.85
26,54.4,15.7,8.31,78.41,12.56
27,54.99,15.58,8.77,79.35,12.99
28,53.33,16.23,8.45,78,12.92
29,54.14,15.72,8.96,78.82,12.57
30,52.77,15.35,8.36,76.48,12.7
31,53.93,15.91,8.15,77.99,12.95
32,53.17,15.36,9.12,77.64,12.66
33,53.71,15.84,7.59,77.14,12.76
34,55.05,15.99,8.87,79.9,12.78
35,54.37,16.07,8.44,78.88,12.83
36,51.61,15.86,8.05,75.52,13.08
37,52.66,15.68,8.54,76.88,12.82
38,54.83,15.65,8.75,79.23,12.88
39,53.38,16.07,8.68,78.13,12.99
40,55.31,15.69,8.54,79.54,12.65
41,53.31,15.87,7.99,77.17,12.89
42,51.88,15.71,9.25,76.84,13.25
43,53.63,15.76,7.66,77.05,12.94
44,53.23,15.38,9.29,77.9,12.94
45,52.85,16.13,8.92,77.9,12.98
46,52.85,15.83,9.29,77.97,12.53
47,52.45,15.77,8.88,77.1,12.95
48,53.88,15.32,8.35,77.55,12.73
49,54.58,15.93,8.5,79.01,12.85
50,52.99,16.05,8.79,77.83,12.75
51,54.15,15.98,8.99,79.12,12.67
52,53.53,15.79,8.8,78.12,12.59
53,53.77,15.6,8.62,77.99,12.98
54,54.14,15.81,8.57,78.52,12.48
55,53.9,15.64,9.13,78.67,12.78
56,54.4,15.69,8.61,78.7,12.76
57,51.88,15.87,8.57,76.31,12.56
58,56.05,15.97,7.8,79.82,12.94
59,52.3,15.51,8.78,76.58,12.66
60,54.94,15.43,8.27,78.64,13.22
61,52.8,15.12,8.73,76.66,12.77
62,53.81,15.79,8.72,78.32,12.82
63,55.51,15.43,8.74,79.68,12.85
64,53.83,16.05,8.31,78.2,12.59
65,55.04,16.13,9.12,80.29,12.58
66,53.48,15.5,8.76,77.74,12.64
67,52.17,15.72,8.46,76.35,12.82
68,53.45,15.86,8.95,78.26,12.39
69,55.01,16.16,8.53,79.7,12.67
70,55.69,15.31,9.19,80.19,12.93
71,50.77,16.02,8.2,74.99,12.98
72,54.37,15.86,9.24,79.47,13.27
73,53.08,15.91,8.23,77.23,13.14
74,54.08,15.6,8.39,78.07,12.82
75,52.85,16.42,9.19,78.46,12.33
76,53.35,15.79,8.72,77.86,12.98
77,53.79,15.41,8.08,77.28,12.81
78,52.78,15.61,8.51,76.9,12.93
79,54.44,15.84,8.37,78.66,12.83
80,53.58,15.51,9,78.09,12.91
81,54.73,16.14,8.66,79.53,13
82,52.75,15.48,9.21,77.44,13.11
83,53.93,15.34,8.54,77.81,13.04
84,54.31,16.25,8.52,79.08,13.36
85,54.2,15.66,9.37,79.22,13.02
86,53.49,15.65,9.86,79,12.97
87,53.59,15.42,8.77,77.77,12.77
88,54.91,15.72,8.21,78.84,12.87
89,54.51,15.77,9.48,79.76,12.57
90,54.15,15.75,8.47,78.37,12.76
91,50.64,15.28,8.27,74.2,12.6
92,54.6,15.9,9.11,79.61,13
93,51.79,15.65,8.65,76.1,12.68
94,53.65,15.58,9.12,78.35,12.89
95,53.93,15.25,8.55,77.73,12.5
96,54.93,15.52,9.13,79.57,13.2
97,54.79,15.83,8.35,78.97,12.74
98,54.46,16.06,8.23,78.75,12.45
99,54.16,16.08,9.19,79.42,12.94
100,55.61,15.42,8.61,79.64,12.61
101,52.5,15.68,8.65,76.83,13.13
102,55.38,15.55,8.16,79.08,12.67
103,54.76,15.47,8.92,79.15,12.89
104,53.93,15.31,8.51,77.75,12.93
105,53.43,15.61,8.39,77.43,12.58
106,52.94,15.78,8.8,77.51,12.76
107,53.72,16.21,8.57,78.5,12.68
108,53.34,15.49,9.57,78.41,12.91
109,54.6,15.36,9.33,79.28,12.89
110,55.02,16.1,9.2,80.32,12.85
111,51.53,16.16,8.77,76.46,13.15
112,54.66,15.44,9.77,79.87,13.08
113,54.01,15.54,8.36,77.91,12.43
114,54.88,15.9,8.41,79.19,12.76
115,55.12,15.78,8.67,79.57,13.19
116,53.75,15.34,8.78,77.87,12.69
117,52.47,15.27,8.32,76.06,12.82
118,52.62,15.99,7.88,76.49,13.18
119,52.72,15.42,8.37,76.51,12.92
120,54.4,15.29,8.62,78.32,12.58
121,52.64,15.66,8.46,76.76,12.67
122,50.64,15.81,8.82,75.26,12.85
123,55.53,15.14,8.38,79.06,12.7
124,53.76,16.42,8.5,78.67,12.88
125,55.65,15.72,8.35,79.72,12.92
126,53.65,16.04,9.13,78.82,13.07
127,56.06,15.65,8.82,80.54,12.52
128,54.59,15.14,8.86,78.59,12.92
129,53.56,15.4,9.06,78.03,12.69
130,52.06,15.24,8.37,75.67,12.87
131,54.73,15.57,8.9,79.2,12.81
132,52.45,15.79,9.02,77.26,12.68
133,54.37,15.72,8.72,78.81,12.92
134,53.28,15.85,8.49,77.63,12.82
135,53.29,15.39,9.07,77.74,12.89
136,54.15,16,8.63,78.78,12.72
137,55.3,15.56,8.81,79.67,12.52
138,53.84,15.67,8.16,77.67,12.75
139,53.39,15.54,8.38,77.31,12.49
140,55.41,15.6,8.89,79.91,13.37
141,56.95,15.8,8.85,81.61,12.56
142,53.14,15.65,8.84,77.64,12.86
143,54.55,15.89,7.89,78.33,12.41
144,53.15,15.64,8.08,76.87,12.72
145,54.65,15.41,8.41,78.47,12.7
146,54.16,16.16,7.83,78.14,12.65
147,55.14,15.76,8.76,79.65,13.12
