Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
0,946.3,13.4,9.1,968.8,1
1,53.33,9.67,5.13,68.14,14.85
2,54.49,9.97,5.23,69.69,14.85
3,54.02,9.18,5.13,68.33,14.29
4,54.91,9.47,5.23,69.6,14.76
5,55.65,9.66,5.26,70.58,14.58
6,55.05,9.52,5.25,69.81,14.29
7,54.05,9.74,5.17,68.96,14.43
8,54.59,9.52,5.21,69.32,14.34
9,53.99,9.46,5.14,68.59,14.56
10,54.13,9.57,5.18,68.89,14.25
11,52.45,9.07,5.11,66.64,14.44
12,54.18,9.5,5.18,68.86,14.31
13,52.44,9.47,5.17,67.08,14.39
14,54.41,9.63,5.17,69.21,14.3
15,54.5,9.55,5.19,69.24,14.16
16,54.84,9.9,5.24,69.98,14.57
17,53.57,9.92,5.15,68.63,14.58
18,52.87,9.85,5.1,67.82,14.42
19,54.84,9.46,5.21,69.51,14.31
20,54.12,9.96,5.19,69.27,14.27
21,54.25,9.2,5.16,68.61,14.45
22,53.51,9.35,5.11,67.98,14.19
23,55.82,9.55,5.25,70.62,14.36
24,55.96,9.85,5.29,71.1,14.63
25,53.6,9.75,5.19,68.53,14.4
26,54.65,9.72,5.21,69.59,14.36
27,53.64,9.38,5.13,68.15,14.64
28,53.75,9.53,5.17,68.44,13.87
29,53.19,9.19,5.14,67.51,14.54
30,53.13,9.46,5.12,67.72,14.74
31,55.4,9.64,5.23,70.27,14.8
32,53.76,9.15,5.14,68.06,14.49
33,53.57,9.77,5.15,68.49,14.57
34,54.56,9.85,5.22,69.63,14.72
35,53.37,9.51,5.1,67.98,14.25
36,52.52,9.55,5.12,67.2,14.82
37,53.96,9.49,5.11,68.55,14.73
38,55.75,9.76,5.27,70.79,14.25
39,54.13,9.64,5.21,68.98,14.62
40,54.29,9.09,5.15,68.53,14.22
41,53.17,9.65,5.13,67.95,14.69
42,53.57,9.65,5.13,68.35,14.46
43,53.09,9.49,5.09,67.68,14.55
44,54.35,9.49,5.17,69.02,14.76
45,54.7,9.6,5.19,69.49,14.49
46,54.24,9.47,5.18,68.89,14.25
47,53.49,9.7,5.11,68.3,15.09
48,54.67,9.41,5.21,69.29,14.59
49,55.28,9.35,5.25,69.87,14.65
50,54.44,9.51,5.18,69.13,14.63
51,53.92,9.87,5.16,68.95,14.75
52,53.1,9.31,5.1,67.51,14.63
53,55.76,9.33,5.27,70.36,14.59
54,53.84,9.86,5.18,68.88,14.47
55,55.11,9.26,5.21,69.57,14.85
56,53.44,9.65,5.11,68.19,14.62
57,53.65,9.71,5.14,68.5,14.22
58,53.28,9.51,5.1,67.89,14.67
59,54.91,9.89,5.24,70.04,14.57
60,54.61,9.27,5.22,69.1,14.47
61,54.56,9.55,5.17,69.29,14.6
62,54.85,10.04,5.34,70.23,14.1
63,54.33,9.69,5.16,69.19,14.34
64,54.18,9.85,5.17,69.21,14.73
65,54.7,9.44,5.2,69.34,14.56
66,54.64,9.55,5.23,69.42,14.51
67,53.67,9.46,5.14,68.28,14.55
68,52.8,9.41,5.05,67.27,14.44
69,53.09,9.47,5.11,67.68,14.46
70,55.24,9.84,5.23,70.31,14.58
71,52.95,9.78,5.15,67.89,14.29
72,56.32,9.87,5.33,71.52,14.21
73,55.31,9.83,5.24,70.38,14.82
74,55.83,9.51,5.29,70.63,14.23
75,52.85,9.66,5.07,67.58,14.76
76,53.6,9.86,5.14,68.59,14.22
77,55.18,9.82,5.26,70.26,14.7
78,55.05,9.75,5.27,70.06,14.47
79,53.75,9.37,5.15,68.27,14.46
80,53.88,9.63,5.15,68.66,14.45
81,55.71,9.6,5.24,70.56,14.08
82,54.04,9.42,5.18,68.65,14.38
83,53.57,9.4,5.13,68.11,14.56
84,54.76,9.72,5.19,69.67,14.6
85,54.5,9.78,5.22,69.5,14.22
86,56.35,9.79,5.29,71.43,14.31
87,54.73,9.54,5.23,69.5,14.24
