Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
0,946.3,13.4,9.1,968.8,1
1,55.81,4.47,4.57,64.85,15.9
2,55.65,4.12,4.1,63.87,15.52
3,55.84,4.17,3.84,63.85,15.91
4,56.6,4.35,4.13,65.08,15.7
5,54.79,4.29,3.02,62.1,16.02
6,54.97,4.23,3.5,62.7,16.03
7,57.8,4.31,3.76,65.87,16.11
8,53.4,4.22,3.21,60.83,16.44
9,53.93,4.23,2.86,61.03,16.25
10,55.67,4.11,3.13,62.91,15.49
11,55.37,4.51,3.79,63.68,15.81
12,53.91,4.36,3.94,62.22,16.02
13,55.58,4.58,3.61,63.77,16.19
14,54.49,4.3,3.15,61.94,16.32
15,55.82,4.75,3.34,63.9,15.96
16,54.81,4.54,3.65,63,16.12
17,53.55,4.16,3.56,61.27,15.95
18,54.06,4.26,5.47,63.78,16.3
19,56.79,4.65,3.82,65.26,15.7
20,53.47,4.26,3.47,61.2,15.6
21,54.28,4.85,3.78,62.9,16.38
22,55.23,4.59,4.66,64.48,15.63
23,52.59,4.38,3.38,60.34,15.87
24,55.15,4.41,4.16,63.71,15.93
25,49.95,4.62,2.93,57.5,15.93
26,52.92,4.79,3.58,61.29,16.04
27,54.88,4.47,3.63,62.98,15.89
28,54.91,4.37,4.09,63.36,15.58
29,55.04,4.31,4.05,63.41,16.3
30,54.23,4.34,3.61,62.18,16.24
31,55.01,4.39,3.66,63.06,16
32,55.22,4.32,3.29,62.82,16.05
33,54.8,4.33,4.46,63.59,16.36
34,53.7,4.34,2.97,61,16.16
35,54.06,4.1,3.05,61.2,16.02
36,53.39,4.01,3.69,61.09,16.71
37,53.52,4.66,3.69,61.86,15.88
38,54.63,4.38,3.21,62.21,15.58
39,54.78,4.19,4.01,62.99,16.08
40,55.11,4.39,3.47,62.97,15.71
41,52.2,4.48,3.7,60.38,16.09
42,56.76,4.51,3.71,64.98,16.16
43,54.25,4.44,3.85,62.55,16.25
44,52.02,4.66,3.8,60.48,16.15
45,52.48,4.11,3.41,60,16.13
46,55.08,4.3,3.55,62.93,16.27
47,55.5,4.19,3.59,63.29,16.28
48,53.18,4.13,3.94,61.24,16.56
49,55.71,4.59,3.12,63.42,16.34
50,57.47,4.48,3.8,65.75,16.41
51,53.07,4.45,3.68,61.19,15.7
52,51.7,4.53,4.24,60.47,16.44
53,53.38,4.26,3.38,61.02,16.39
54,53.88,3.99,4.44,62.32,16.12
55,55.29,4.25,3.57,63.11,16.64
56,54.45,3.82,3.78,62.05,16.17
57,56.86,4.45,3.73,65.04,15.86
58,54.97,4.33,3.45,62.75,15.99
59,53.54,4.12,3.58,61.23,15.75
60,54.07,4.03,3.8,61.91,16.64
61,56.03,4.22,4.65,64.89,16.03
62,54.78,4.51,5.09,64.38,16.47
63,56.53,4.04,3.15,63.73,16.17
64,53.5,4.47,4.62,62.59,16.37
65,55.63,4.38,3.79,63.79,15.83
66,54.8,4.34,3.04,62.19,16.35
67,53.57,4.32,4.02,61.91,15.83
68,54.68,4.14,4.44,63.26,15.71
69,53.92,4.35,3.34,61.6,15.93
70,54.78,4.31,3.43,62.52,16.88
71,53.31,4.4,4.59,62.31,15.18
72,55.01,4.23,3.63,62.86,15.97
73,51.54,4.2,4.25,59.99,16.01
74,54.28,4.43,4.11,62.82,16.25
75,53.88,4.23,3.37,61.48,16.34
76,55.38,4.49,3.31,63.18,16.46
77,55.4,4.22,2.93,62.55,15.82
78,55,4.29,3.09,62.38,16.31
79,54.66,4.36,3.7,62.72,16.21
80,52.84,4.61,3.58,61.03,16.35
81,56.19,4.31,3.15,63.64,15.69
82,52.98,4.58,4.9,62.46,15.99
83,56.29,4.18,4.37,64.84,15.29
84,56.63,3.9,3.67,64.2,16.96
85,55.81,3.87,4.6,64.27,16.24
86,54.92,4.3,3.07,62.29,15.7
87,54.43,4.06,3.94,62.44,16.11
88,54.49,3.79,2.74,61.03,15.51
89,53.23,4.35,3.03,60.61,16.07
90,54.28,4.59,3.06,61.94,16.27
91,55.7,4.26,3.93,63.89,16.27
92,52.64,4.37,3.44,60.45,16.3
93,56.78,4.54,3.79,65.11,15.25
94,58.05,4.23,3.53,65.81,16.48
