Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
0,535.1,7.1,313.8,856,1.2
1,24.14,3.79,263.24,291.17,4.05
2,25.64,3.51,146.45,175.6,4.47
3,24.99,3.94,140.4,169.33,4.87
4,24.67,3.76,107.55,135.98,5.82
5,26.17,4.29,161.58,192.03,6.23
6,27.99,3.96,108.83,140.78,4.05
7,30.39,3.75,149.37,183.5,5.34
8,26.81,4.07,155.25,186.14,5.86
9,27.4,3.87,194.66,225.93,5.4
10,27.93,3.94,121.7,153.57,5.74
11,25.73,3.32,185.58,214.63,5.92
12,27.18,3.6,170.57,201.36,4.34
13,31.53,3.92,121.58,157.04,4.04
14,28.03,3.57,117.75,149.35,3.97
15,31.53,3.73,112.93,148.19,4.53
16,27.28,4.08,165.4,196.77,6.08
17,25.95,3.99,257.07,287.01,5.7
18,29.38,4.14,129.44,162.96,4
19,29.83,3.87,133.57,167.28,3.4
20,26.21,3.71,279.77,309.69,4.15
21,27.98,4.2,140.39,172.56,5.32
22,27.1,3.88,193.04,224.02,3.98
23,24.38,3.62,169.36,197.37,7.22
24,24.5,4.25,138.87,167.62,5.96
25,26.81,3.88,227.01,257.7,4.75
26,29.6,4.1,150.56,184.25,6.74
27,28.98,3.94,201.86,234.78,4.39
28,25.34,4.1,163.71,193.14,5.28
29,24.92,4.02,195.75,224.68,4.05
30,25.43,3.8,201.02,230.25,4.95
31,25.26,3.78,235.28,264.32,5.13
32,25.41,4.03,131.14,160.59,4.86
33,23.06,3.9,190.33,217.29,3.83
34,22.2,3.87,175.95,202.01,4.68
35,21.96,3.77,205.97,231.69,4.29
36,24.03,3.81,167.17,195.01,5.14
37,29.63,3.52,276.58,309.73,5.19
38,34.66,3.99,178.27,216.91,5.2
39,31.39,3.72,173.06,208.17,4.12
40,27.74,3.89,103.36,134.99,6.2
41,25.63,3.85,214.93,244.42,6.3
42,26.34,3.91,160.52,190.77,6.85
43,27.52,3.88,152.7,184.09,4.45
44,31.49,3.97,144.22,179.68,5.92
45,25.19,3.67,146.62,175.47,3.56
46,27.24,3.85,261.77,292.86,5.1
47,27.43,3.88,158.29,189.6,5.6
48,27.05,3.67,170.2,200.92,6.21
49,23.09,3.64,211.31,238.04,4.96
50,26.66,3.74,83.05,113.45,4.42
51,24.44,3.91,160.72,189.07,4.67
52,31.94,3.62,150.47,186.02,6.4
53,28.41,4.09,169.57,202.06,3.49
54,29.53,3.73,203.13,236.39,3.69
55,25.41,3.87,200.7,229.97,3.8
56,26.3,4.02,170.38,200.71,6.68
57,31.44,3.53,156.26,191.22,4.44
58,29.34,4.19,119.04,152.56,4.25
59,28.1,3.66,169.26,201.02,5.03
60,30,4.18,194.62,228.79,5.35
61,31.27,3.99,110.41,145.67,3.02
62,30.36,3.45,180.35,214.15,3.74
63,29.39,3.83,153.91,187.14,4.44
64,29.59,3.69,286.04,319.32,5.31
65,26.55,4.25,120.03,150.83,4.04
66,27.63,3.92,181.4,212.95,5.28
67,28.63,3.42,138.08,170.13,5.76
68,27.88,4.16,146.09,178.13,2.57
69,28.27,4,189.68,221.95,4.3
70,26.94,3.97,139.85,170.75,4.86
71,21.6,3.87,238.35,263.83,4.71
72,28.62,3.54,144.25,176.41,4.52
73,27.45,4.24,205.65,237.34,6.03
74,27.49,3.81,96.54,127.85,5.61
75,31.76,4.2,124.67,160.64,5.51
76,27.96,3.87,145.05,176.89,4.21
77,25.57,3.82,159.93,189.32,6.03
78,28.65,3.47,129.07,161.18,6.91
79,27.41,3.7,128.5,159.61,3.67
80,29.53,4.18,155.85,189.55,3.94
81,26,4.04,203.75,233.79,5.58
82,25.55,3.99,198.09,227.63,4.42
83,26.12,4.01,112.36,142.48,5.46
84,23.67,3.87,167.03,194.57,5.87
85,26.33,3.76,184.82,214.91,5.28
86,30.5,3.68,121.78,155.96,3.98
87,25.73,3.76,257.99,287.48,7.33
88,24.43,3.9,127.68,156.02,4.45
89,26.14,3.69,151.18,181.02,6.67
90,27.68,3.87,151.85,183.4,5.02
91,25.69,3.89,129.98,159.56,6.88
92,27.38,3.83,268.17,299.37,4.63
93,27.75,3.49,218.65,249.88,6.09
94,27.23,3.63,262.45,293.31,6.31
95,27.04,3.83,149.69,180.57,4.66
96,30.86,3.37,149.76,184,6.12
97,27.59,4.11,136,167.7,4.88
98,25.6,4.17,196.23,226,5.42
99,28.78,4.07,280.91,313.76,3.88
100,27.11,3.93,139.2,170.24,4.31
101,27.38,3.58,221.72,252.68,6.16
102,29.32,3.94,243.36,276.62,5.48
103,29.99,4.2,119.52,153.7,6.19
104,24.88,3.61,131.12,159.61,5.29
105,30.8,4.46,199.12,234.38,5.45
106,27.1,4.06,92.78,123.93,5.88
107,27.11,3.62,128.14,158.87,3.5
108,25.15,3.63,193.02,221.81,5.22
109,28.77,3.75,106.36,138.88,5.24
110,24.3,3.86,219.32,247.47,5.26
111,28.34,3.78,94.57,126.69,6.6
112,30.63,3.22,122.71,156.56,3.85
113,26.58,3.57,180.32,210.46,4.24
114,29.46,3.87,114.85,148.18,5.49
115,27.4,3.91,163.1,194.41,5.26
116,24.36,4.08,190.09,218.53,6.66
117,27.48,3.71,132.67,163.86,5.45
118,26.85,3.9,157.38,188.13,6.63
119,29.08,3.87,204.89,237.84,5.11
120,26.48,3.67,184.02,214.17,3.87
121,28.26,4.01,247.11,279.38,4.86
122,25.05,3.98,192.34,221.38,5.7
123,28.11,4.41,123.59,156.11,4.97
124,27.28,4.12,233.73,265.13,4.12
125,26.97,3.51,107.03,137.51,5.88
126,27.29,4.09,151.71,183.09,6.22
127,26.63,3.54,138.45,168.61,5.75
128,27.52,4.21,203.53,235.26,4.59
129,26.82,3.8,146.2,176.82,4.23
130,25.22,3.94,201.58,230.74,5.91
131,24.56,4.17,230.57,259.3,4.42
132,26.21,3.98,167.35,197.54,6.07
133,26.58,4.06,150.07,180.71,3.26
134,21.04,3.72,190.21,214.97,4.82
135,27.27,3.65,220.66,251.58,3.15
136,31.77,3.88,128.4,164.04,4.7
137,28.65,4.02,170.18,202.85,6.44
138,26.88,3.85,127.18,157.9,5.86
139,25.55,4.25,143.49,173.29,5.15
140,23.73,4,141.82,169.55,4.92
141,29.06,3.8,205.76,238.61,2.75
142,28.11,3.83,182.2,214.14,3.51
143,24.68,3.74,208.36,236.78,5.49
144,29.21,3.98,134.82,168.01,6.53
145,28.96,3.78,172.45,205.19,5.5
146,25.85,3.92,86.43,116.19,5.38
147,26.63,4.22,145.28,176.13,7.77
148,27.74,3.97,108.05,139.77,4.94
149,28.37,3.86,162.17,194.4,3.17
150,24.97,3.82,184.97,213.77,4.85
151,28.4,4.18,182.89,215.46,4.48
152,27.35,3.96,116.03,147.34,6.83
153,29.52,4.04,156.94,190.51,6.69
154,28.8,3.73,195.08,227.62,5.2
155,27.35,3.56,127.91,158.81,5.51
156,29.12,4.17,143.38,176.67,5.92
157,24.12,4.12,220.6,248.83,6.24
158,26.46,3.62,121.02,151.11,5.42
159,25.22,4.06,144.38,173.67,5.57
160,26.08,4.19,224.1,254.37,5.43
161,26.06,3.78,178.55,208.39,4.83
162,24.63,3.86,201.36,229.85,6.07
163,29.19,4.31,164.4,197.9,5.66
164,28.78,4.16,181.36,214.3,4.4
165,25.98,3.7,229.35,259.03,6
166,22.46,3.72,179.93,206.11,5.1
167,26.19,3.82,209.99,239.99,6.41
168,27.13,3.93,164.42,195.48,5.71
169,30.02,3.99,165.11,199.13,5.21
170,26.07,3.58,218.16,247.8,3.07
171,29.24,3.73,140.04,173.01,3.51
172,26.19,3.44,196.53,226.16,8.53
173,28.4,4.05,128.61,161.06,5.28
174,28.89,3.88,151.33,184.1,5.92
175,28.42,3.82,158.68,190.91,5.72
176,25.26,3.77,86.73,115.76,7.62
177,26.48,3.83,149.64,179.95,5.74
178,28.44,3.96,309.97,342.37,5.53
179,23.97,3.59,126.76,154.32,6.36
180,28.86,3.7,114.32,146.87,5.27
181,24.73,3.63,292.28,320.65,3.01
182,24.44,3.27,114.34,142.06,4.21
183,26.13,4.28,163.78,194.19,6.83
184,25.82,4.03,134.37,164.21,5.25
185,27.6,3.68,169.55,200.83,6.16
186,27.78,3.92,169.72,201.43,3.3
187,27.37,3.6,222.8,253.77,6.35
188,25.2,3.99,182.77,211.96,6.32
189,29.72,4.43,164.78,198.92,6.13
190,27.36,4.09,171.3,202.75,6.17
191,29.15,3.41,124.52,157.08,3.22
192,22.5,3.51,134.12,160.13,6.3
193,28.33,3.52,109.63,141.49,2.16
194,26.05,3.77,191.58,221.4,4.74
195,28.79,3.85,148.68,181.33,4.54
196,30.91,4.2,153.37,188.47,5.22
197,24.82,3.55,166.04,194.42,3.29
198,29,3.87,180.4,213.27,3.27
199,26,3.26,162.8,192.05,5.7
200,23.37,3.63,192.88,219.88,5.58
201,29.14,3.56,137.17,169.87,5.66
202,30.98,3.37,160.21,194.56,4.25
203,31.58,4.05,246.62,282.25,5.04
204,27.85,3.72,145.15,176.72,4.57
205,24.25,3.91,200.22,228.38,3.94
206,26.8,3.55,233.71,264.06,4.66
207,27,4.14,168.31,199.45,4.78
208,29.49,3.65,203.85,236.99,4.05
209,27.18,4.13,99.68,130.99,6.34
210,22.95,4.12,132.97,160.04,6.25
211,28.53,3.93,141.44,173.9,6.78
212,27.38,3.95,182.1,213.43,5.63
213,29.09,3.63,108.18,140.9,6.27
214,27.74,3.49,189.56,220.79,5.94
215,28.65,3.91,192.49,225.05,5.28
216,27.26,3.92,266.45,297.63,5.64
217,27.81,3.78,137.58,169.18,5.91
218,25.33,3.68,192.08,221.09,5.77
219,27.96,3.67,171.22,202.85,5.32
220,26.85,3.53,114.04,144.41,6.17
221,28.24,4.09,272.26,304.59,5.3
222,24.79,3.71,147.36,175.86,6.14
223,30.11,3.65,159.1,192.87,4.04
224,27.74,4.02,168.84,200.6,6.7
225,28.86,3.75,215.12,247.73,4.24
226,27.24,3.73,153.55,184.52,4.27
227,28.47,4.13,193.82,226.42,6.85
228,22.6,3.6,166.54,192.75,4.73
229,27.01,3.62,144.37,174.99,5.24
230,25.6,3.43,141.93,170.96,5.34
231,26.49,3.86,192.69,223.04,5.82
232,29.31,3.73,164.03,197.08,7.81
233,23.93,4.3,174.19,202.42,4.89
234,28.75,3.73,185.5,217.98,5.98
235,28.18,4.02,207.41,239.61,4.56
236,29.87,3.67,173.57,207.1,4.47
237,22.96,4.06,161.59,188.61,4.98
238,28.44,4.21,162.89,195.54,5.46
239,27.75,3.75,119.69,151.19,2.94
240,27.12,3.83,83.68,114.63,5.21
241,30.2,3.82,133.58,167.6,5.54
242,22.89,3.93,209.37,236.19,3.78
243,27.49,4.1,84.69,116.27,4.73
244,29.34,3.72,177.09,210.15,6.16
245,23.88,4.11,131.43,159.42,5.54
246,28.45,3.92,201.43,233.8,4.2
247,27.9,4.24,234.57,266.7,5.66
248,22.84,3.95,225.32,252.11,7.04
249,29.49,3.54,241.5,274.53,3.11
250,25.39,4.03,220.63,250.06,6.5
251,30.48,3.87,168.98,203.33,5.85
252,28.41,3.8,104.55,136.77,4.19
253,27.85,3.99,180.82,212.66,5.99
254,29.32,3.69,129.43,162.43,5.88
255,29.07,3.82,73.96,106.86,5.68
256,23.19,3.75,120.1,147.04,4.67
257,23.72,4.03,235.82,263.57,4.71
258,26.93,3.79,168.52,199.25,4.52
259,25.02,3.9,228.09,257,5.87
260,30.65,3.91,251.01,285.57,6.63
261,25.19,3.98,175.53,204.7,5.86
262,27.42,3.76,138.71,169.88,4.7
263,28.43,4.15,121.6,154.18,3.88
264,32.26,4.11,159.82,196.19,5.69
265,29.6,4.3,101.35,135.25,4.87
266,25.87,3.66,167.95,197.47,3.37
267,28.31,3.91,136.11,168.33,5.03
268,28.67,3.5,151.05,183.22,4.33
269,28.51,3.61,152.2,184.32,4.69
270,25.21,4.04,158.67,187.92,6.66
271,31.41,3.84,182.86,218.12,5.83
272,24.71,3.64,154.71,183.07,6.62
273,28.63,4.05,108.75,141.43,6.21
274,25.41,3.95,197.98,227.33,4.97
275,28.03,3.31,214.19,245.54,7.06
276,26.83,4.13,157.45,188.4,4.75
277,24.55,3.88,115.56,143.99,4.24
278,22.13,3.74,188.74,214.62,4.49
279,29.05,3.56,124.54,157.15,6.38
280,26.08,3.98,256.86,286.91,5.05
281,27.52,3.76,108.22,139.5,3.86
282,30.94,3.83,178.64,213.41,4.2
283,28.51,3.88,171.92,204.31,6.17
284,21.26,3.99,199.04,224.29,5.79
285,24.71,3.94,175.32,203.96,6.33
286,23.44,4.22,160.53,188.19,5.2
287,25.51,3.46,120.33,149.3,5.35
288,26.67,3.74,260.25,290.66,4.28
289,32.49,4.12,157.84,194.45,6.28
290,29.3,4.35,108.91,142.56,5.15
291,27.96,4.14,167.87,199.97,3.82
292,28.14,3.99,221.98,254.11,3.5
293,28.21,4.07,151.74,184.02,5.9
294,23.62,4.07,223.32,251.01,4.34
295,24.33,3.74,172.1,200.16,5.5
296,28.17,4.01,237.2,269.37,5.48
