Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
0,564.2,5.1,191.6,761,1.3
1,25.16,2.45,52.35,79.96,12.16
2,26.8,2.23,44.35,73.38,10.97
3,25.83,2.51,77.99,106.33,11.27
4,25.12,2.31,58.5,85.93,11.21
5,26.44,2.33,63.56,92.33,12.29
6,25.55,2.62,64,92.17,11.95
7,26.99,2.66,57.52,87.17,11.4
8,28.53,2.43,59.31,90.27,13.28
9,26.47,2.59,61.37,90.42,11.3
10,26.27,2.32,47.46,76.04,13.12
11,28.65,2.56,60.06,91.27,12.57
12,28.11,2.42,71.96,102.49,12.16
13,28.22,2.28,69.25,99.74,11.03
14,22.93,2.34,67.53,92.8,12.92
15,26.23,2.54,48.76,77.53,13.21
16,26.03,2.26,62.11,90.4,11.83
17,25.63,2.44,53.06,81.13,12.64
18,28.62,2.64,50.71,81.97,11.72
19,26.08,2.4,84.93,113.42,12.84
20,24.73,2.25,64.2,91.18,10.89
21,27.34,2.44,47.79,77.57,12.43
22,26.93,2.58,49.58,79.1,9.65
23,25.48,2.28,58.29,86.05,10.72
24,28.57,2.65,48.08,79.3,10.8
25,27.79,2.59,70.24,100.62,11.66
26,27.78,2.53,57,87.32,10.94
27,27.72,2.56,58.55,88.82,10.95
28,28.68,2.5,49.78,80.96,11.5
29,26.7,2.53,48.32,77.55,11.54
30,24.97,2.49,58.79,86.25,10.73
31,26.61,2.61,57.35,86.58,10.58
32,24.31,2.67,63.76,90.74,10.97
33,25.25,2.36,56.56,84.16,12.44
34,29.52,2.37,55.39,87.28,13.74
35,25.19,2.42,61.54,89.15,12.8
36,25.08,2.39,53.62,81.08,11.36
37,28.01,2.65,44.19,74.85,11.98
38,28.32,2.25,61.99,92.57,11.64
39,24.29,2.56,60.09,86.94,11.53
40,27.34,2.68,59.3,89.32,11.73
41,26.07,2.39,63.62,92.09,11.86
42,27.47,2.7,59.84,90.01,10.26
43,26.46,2.65,48.77,77.88,11.15
44,24.77,2.43,63.23,90.42,11.61
45,26.18,2.6,56.71,85.48,13.54
46,27.94,2.35,52.42,82.72,12.15
47,30.04,2.31,55.4,87.75,12.52
48,27.57,2.41,57.6,87.57,11.56
49,26.32,2.68,63.38,92.38,12.79
50,25.07,2.41,71.39,98.86,11.87
51,26.69,2.48,66.02,95.2,12.3
52,26.34,2.33,65.46,94.13,11.78
53,27.43,2.61,58.98,89.02,12.08
54,26.85,2.6,58.31,87.76,11.27
55,27.71,2.37,47.94,78.02,13.1
56,26.37,2.13,53.08,81.59,11.26
57,29.67,2.42,53.33,85.42,10.89
58,27.87,2.54,60.44,90.86,11.77
59,25.82,2.48,54.93,83.23,13.13
60,28.54,2.49,55.39,86.42,11.1
61,25.1,2.53,63.45,91.08,11.5
62,25.58,2.4,54.75,82.73,11.85
63,25.67,2.29,57.15,85.11,10.59
64,29.06,2.59,61.45,93.09,10.55
65,26.66,2.35,64.56,93.56,12.54
66,25.94,2.3,71.04,99.28,11.7
