Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
0,612.7,5,77.3,695,1.4
1,35,1.6,2.8,39.4,25.4
2,24.75,1.45,2.86,29.06,36.28
3,25.95,1.48,2.87,30.3,33.17
4,23.54,1.08,2.77,27.38,34.41
5,23.54,1.76,2.79,28.09,37.93
6,26.03,1.38,2.88,30.28,36.7
7,24.91,1.59,2.89,29.38,33.3
8,23.21,1.5,2.8,27.51,36.26
9,24.6,1.7,2.93,29.23,34.42
10,23.22,1.57,2.76,27.56,32.63
11,23.22,1.48,2.78,27.47,37.93
12,24.19,1.38,2.86,28.43,35.7
13,21.23,1.63,2.74,25.59,35.9
14,21.49,1.23,2.68,25.4,33.82
15,23.08,1.61,2.78,27.47,33.96
16,22.47,1.35,2.75,26.56,33.34
17,24.29,1.7,2.87,28.86,37.59
18,22.61,1.53,2.76,26.91,33.27
19,21.92,1.61,2.71,26.23,37.88
20,25.87,1.52,2.86,30.25,34.2
21,23.55,1.25,2.81,27.6,33.86
22,23.95,1.38,2.77,28.1,35.51
23,21.9,1.61,2.72,26.23,34.62
24,23.11,1.54,2.78,27.43,35.73
25,24.01,1.69,2.83,28.52,34.35
26,22.28,1.57,2.75,26.6,35.15
27,24.37,1.37,2.83,28.57,34.52
28,23.03,1.39,2.78,27.2,36.81
29,23.46,1.53,2.79,27.77,36.32
30,23.03,1.17,2.77,26.96,35.94
31,26.4,1.76,2.9,31.06,37.08
32,23.84,1.58,2.84,28.26,35.96
33,22.4,1.69,2.8,26.89,35.84
34,24.99,1.27,2.83,29.1,35.42
35,22.18,1.7,2.76,26.64,34.58
36,24.14,1.84,2.84,28.83,34.58
37,21.16,1.31,2.74,25.22,35.8
38,22.03,1.63,2.75,26.41,37.03
39,24.13,1.51,2.8,28.44,36.4
40,24.87,1.28,2.84,28.99,36.39
41,24.09,1.58,2.85,28.52,34.03
42,23.7,1.64,2.72,28.05,36.33
43,23.44,1.42,2.82,27.68,35.03
44,21.83,1.68,2.77,26.28,35.84
